TeamKey,OppKey,Team,Opp,Score A,Score B,Date
42161493,42159633,AZ Arsenal 15 Boys Teal CE,PRFC Scottsdale 15B Copa,0,3,2024-10-12
42159633,42161493,PRFC Scottsdale 15B Copa,AZ Arsenal 15 Boys Teal CE,3,0,2024-10-12
42172613,42160653,East 15B Blue,SASC 2015B Cardinals Jimenez,10,1,2024-10-12
42160653,42172613,SASC 2015B Cardinals Jimenez,East 15B Blue,1,10,2024-10-12
42160653,42172613,SASC 2015B Cardinals Jimenez,East 15B Blue,1,10,2024-10-12
42159633,42161493,PRFC Scottsdale 15B Copa,AZ Arsenal 15 Boys Teal CE,3,0,2024-10-12
42160829,42160738,State 48 FC Buckeye 15 Black,West Valley 2015 Boys Rose,1,3,2024-10-12
42172613,42160653,East 15B Blue,SASC 2015B Cardinals Jimenez,10,1,2024-10-12
42160738,42160829,West Valley 2015 Boys Rose,State 48 FC Buckeye 15 Black,3,1,2024-10-12
42159724,42159932,Northwest 2015 Boys Red,CCV STARS 15 Boys Red PEO,1,3,2024-10-12
42159724,42159932,Northwest 2015 Boys Red,CCV STARS 15 Boys Red PEO,1,3,2024-10-12
42159932,42159724,CCV STARS 15 Boys Red PEO,Northwest 2015 Boys Red,3,1,2024-10-12
42160014,42161078,Legends,PRFC Scottsdale 15B Predator,6,3,2024-10-12
42161078,42160014,PRFC Scottsdale 15B Predator,Legends,3,6,2024-10-12
42161078,42160014,PRFC Scottsdale 15B Predator,Legends,3,6,2024-10-12
42160014,42161078,Legends,PRFC Scottsdale 15B Predator,6,3,2024-10-12
42159959,42160014,BRAZAS FC 2015 Boys Black,Legends,3,1,2024-10-12
42160014,42159959,Legends,BRAZAS FC 2015 Boys Black,1,3,2024-10-12
42160014,42159959,Legends,BRAZAS FC 2015 Boys Black,1,3,2024-10-12
42159959,42160014,BRAZAS FC 2015 Boys Black,Legends,3,1,2024-10-12
42171732,42158292,2015 Boys Blue,2015 Boys,2,0,2024-10-12
42158292,42171732,2015 Boys,2015 Boys Blue,0,2,2024-10-12
42158292,42171732,2015 Boys,2015 Boys Blue,0,2,2024-10-12
42171732,42158292,2015 Boys Blue,2015 Boys,2,0,2024-10-12
42159695,42175344,Phoenix United 2015 Elite,ALBION SC Las Vegas B15 Academy I,6,0,2024-10-12
42175344,42159695,ALBION SC Las Vegas B15 Academy I,Phoenix United 2015 Elite,0,6,2024-10-12
42160829,42160738,State 48 FC Buckeye 15 Black,West Valley 2015 Boys Rose,1,3,2024-10-12
42159961,42158532,Southeast 2015 Boys Green,White,2,1,2024-10-12
42158532,42159961,White,Southeast 2015 Boys Green,1,2,2024-10-12
42159961,42161267,Southeast 2015 Boys Green,FC Elite Arizona 2015 Boys (ARCHIVED),2,2,2024-10-12
42161267,42159961,FC Elite Arizona 2015 Boys (ARCHIVED),Southeast 2015 Boys Green,2,2,2024-10-12
42161267,42159961,FC Elite Arizona 2015 Boys (ARCHIVED),Southeast 2015 Boys Green,2,2,2024-10-12
42159932,42159724,CCV STARS 15 Boys Red PEO,Northwest 2015 Boys Red,3,1,2024-10-12
42159961,42161267,Southeast 2015 Boys Green,FC Elite Arizona 2015 Boys (ARCHIVED),2,2,2024-10-12
42160828,42162519,PRFC North Valley 15B Predator,Locomotive 2015,3,3,2024-10-12
42159695,42159960,Phoenix United 2015 Elite,Northwest 2015 Boys Black,2,2,2024-10-12
42159695,42159960,Phoenix United 2015 Elite,Northwest 2015 Boys Black,2,2,2024-10-12
42159960,42159695,Northwest 2015 Boys Black,Phoenix United 2015 Elite,2,2,2024-10-12
42159695,42175344,Phoenix United 2015 Elite,ALBION SC Las Vegas B15 Academy I,6,0,2024-10-12
42175344,42159695,ALBION SC Las Vegas B15 Academy I,Phoenix United 2015 Elite,0,6,2024-10-12
42162519,42160828,Locomotive 2015,PRFC North Valley 15B Predator,3,3,2024-10-12
42159724,42175344,Northwest 2015 Boys Red,ALBION SC Las Vegas B15 Academy I,1,1,2024-10-12
42159960,42159695,Northwest 2015 Boys Black,Phoenix United 2015 Elite,2,2,2024-10-12
42162669,42161728,PRFC West Valley 15B Predator,FCDA 2015B Pre - Academy,5,0,2024-10-12
42160958,42160732,Scottsdale 15 Sandsharks Select,15 Boys Navy,3,2,2024-10-12
42160732,42160958,15 Boys Navy,Scottsdale 15 Sandsharks Select,2,3,2024-10-12
42159959,42161078,BRAZAS FC 2015 Boys Black,PRFC Scottsdale 15B Predator,5,2,2024-10-12
42161078,42159959,PRFC Scottsdale 15B Predator,BRAZAS FC 2015 Boys Black,2,5,2024-10-12
42161078,42159959,PRFC Scottsdale 15B Predator,BRAZAS FC 2015 Boys Black,2,5,2024-10-12
42159959,42161078,BRAZAS FC 2015 Boys Black,PRFC Scottsdale 15B Predator,5,2,2024-10-12
42160958,42160732,Scottsdale 15 Sandsharks Select,15 Boys Navy,3,2,2024-10-12
42160014,42159959,Legends,BRAZAS FC 2015 Boys Black,1,3,2024-10-12
42160014,42159959,Legends,BRAZAS FC 2015 Boys Black,1,3,2024-10-12
42160738,42159421,West Valley 2015 Boys Rose,15/16,5,0,2024-10-12
42159421,42160738,15/16,West Valley 2015 Boys Rose,0,5,2024-10-12
42159421,42160738,15/16,West Valley 2015 Boys Rose,0,5,2024-10-12
42175344,42159724,ALBION SC Las Vegas B15 Academy I,Northwest 2015 Boys Red,1,1,2024-10-12
42160738,42159421,West Valley 2015 Boys Rose,15/16,5,0,2024-10-12
42159959,42160014,BRAZAS FC 2015 Boys Black,Legends,3,1,2024-10-12
42160732,42160958,15 Boys Navy,Scottsdale 15 Sandsharks Select,2,3,2024-10-12
42159959,42160014,BRAZAS FC 2015 Boys Black,Legends,3,1,2024-10-12
42160624,42161804,CDO 15B Alliance,15B,3,9,2024-10-12
42159421,42160738,15/16,West Valley 2015 Boys Rose,0,5,2024-10-12
42161804,42160624,15B,CDO 15B Alliance,9,3,2024-10-12
42159421,42160738,15/16,West Valley 2015 Boys Rose,0,5,2024-10-12
42160738,42159421,West Valley 2015 Boys Rose,15/16,5,0,2024-10-12
42158292,42160732,2015 Boys,15 Boys Navy,1,1,2024-10-12
42161182,42159421,Mellindo FC 2015 A,15/16,3,0,2024-10-12
42159421,42161182,15/16,Mellindo FC 2015 A,0,3,2024-10-12
42161286,42161804,Deportivo Mexico 15B,15B,5,0,2024-10-12
42161804,42161286,15B,Deportivo Mexico 15B,0,5,2024-10-12
42158292,42160732,2015 Boys,15 Boys Navy,1,1,2024-10-12
42160732,42158292,15 Boys Navy,2015 Boys,1,1,2024-10-12
42160732,42158292,15 Boys Navy,2015 Boys,1,1,2024-10-12
42160738,42159421,West Valley 2015 Boys Rose,15/16,5,0,2024-10-12
42161728,42162669,FCDA 2015B Pre - Academy,PRFC West Valley 15B Predator,0,5,2024-10-12
42162133,42161402,Tuzos Academy Mesa 2015,PRFC Southeast Valley 15B Predator,3,4,2024-10-13
42159695,42159932,Phoenix United 2015 Elite,CCV STARS 15 Boys Red PEO,4,0,2024-10-13
42159932,42159695,CCV STARS 15 Boys Red PEO,Phoenix United 2015 Elite,0,4,2024-10-13
42163108,42162133,NM Rapids 2015B Wolfpack,Tuzos Academy Mesa 2015,5,1,2024-10-13
42159695,42159932,Phoenix United 2015 Elite,CCV STARS 15 Boys Red PEO,4,0,2024-10-13
42161267,42158532,FC Elite Arizona 2015 Boys (ARCHIVED),White,0,2,2024-10-13
42161402,42162133,PRFC Southeast Valley 15B Predator,Tuzos Academy Mesa 2015,4,3,2024-10-13
42158532,42161267,White,FC Elite Arizona 2015 Boys (ARCHIVED),2,0,2024-10-13
42158532,42161267,White,FC Elite Arizona 2015 Boys (ARCHIVED),2,0,2024-10-13
42159932,42159695,CCV STARS 15 Boys Red PEO,Phoenix United 2015 Elite,0,4,2024-10-13
42161402,42162133,PRFC Southeast Valley 15B Predator,Tuzos Academy Mesa 2015,4,3,2024-10-13
42161402,42162133,PRFC Southeast Valley 15B Predator,Tuzos Academy Mesa 2015,4,3,2024-10-13
42163108,42160050,NM Rapids 2015B Wolfpack,Arsenal,4,2,2024-10-13
42160050,42163108,Arsenal,NM Rapids 2015B Wolfpack,2,4,2024-10-13
42160050,42163108,Arsenal,NM Rapids 2015B Wolfpack,2,4,2024-10-13
42163108,42160050,NM Rapids 2015B Wolfpack,Arsenal,4,2,2024-10-13
42162133,42161402,Tuzos Academy Mesa 2015,PRFC Southeast Valley 15B Predator,3,4,2024-10-13
42162133,42161402,Tuzos Academy Mesa 2015,PRFC Southeast Valley 15B Predator,3,4,2024-10-13
42161402,42162133,PRFC Southeast Valley 15B Predator,Tuzos Academy Mesa 2015,4,3,2024-10-13
42162133,42163108,Tuzos Academy Mesa 2015,NM Rapids 2015B Wolfpack,1,5,2024-10-13
42161267,42158532,FC Elite Arizona 2015 Boys (ARCHIVED),White,0,2,2024-10-13
42163108,42162133,NM Rapids 2015B Wolfpack,Tuzos Academy Mesa 2015,5,1,2024-10-13
42162133,42161402,Tuzos Academy Mesa 2015,PRFC Southeast Valley 15B Predator,3,4,2024-10-13
42159961,42171732,Southeast 2015 Boys Green,2015 Boys Blue,1,0,2024-10-13
42159961,42160738,Southeast 2015 Boys Green,West Valley 2015 Boys Rose,2,3,2024-10-13
42160958,42161182,Scottsdale 15 Sandsharks Select,Mellindo FC 2015 A,1,2,2024-10-13
42158563,42161493,2015 Rush Boys,AZ Arsenal 15 Boys Teal CE,1,2,2024-10-13
42162133,42163108,Tuzos Academy Mesa 2015,NM Rapids 2015B Wolfpack,1,5,2024-10-13
42161493,42158563,AZ Arsenal 15 Boys Teal CE,2015 Rush Boys,2,1,2024-10-13
42158563,42161493,2015 Rush Boys,AZ Arsenal 15 Boys Teal CE,1,2,2024-10-13
42161493,42158563,AZ Arsenal 15 Boys Teal CE,2015 Rush Boys,2,1,2024-10-13
42159633,8d2e8a885597,PRFC Scottsdale 15B Copa,EV-NSFC 15 Boys Perez(1),2,1,2024-10-13
