Team,Opponent,TeamRaw,OpponentRaw,TeamScore,OpponentScore,Competition,Date,Division,TeamURL
fc elite arizona 2012 boys gold,phoenix premier fc 2012 boys red,FC Elite Arizona 2012 Boys Gold,Phoenix Premier FC 2012 Boys Red,3,4,League Play,2025-08-17,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,queen creek soccer club 2012 boys black,FC Elite Arizona 2012 Boys Gold,Queen Creek Soccer Club 2012 Boys Black,1,4,League Play,2025-09-02,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,paradise valley soccer club 2012 boys black,FC Elite Arizona 2012 Boys Gold,Paradise Valley Soccer Club 2012 Boys Black,0,1,League Play,2025-02-27,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,paradise valley soccer club 2012 boys black,FC Elite Arizona 2012 Boys Gold,Paradise Valley Soccer Club 2012 Boys Black,5,5,League Play,2025-08-23,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,az soccer club 2012 boys red,FC Elite Arizona 2012 Boys Gold,AZ Soccer Club 2012 Boys Red,1,4,League Play,2024-12-20,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,mesa soccer club 2012 boys red,FC Elite Arizona 2012 Boys Gold,Mesa Soccer Club 2012 Boys Red,3,2,League Play,2024-11-08,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,fountain hills soccer club 2012 boys black,FC Elite Arizona 2012 Boys Gold,Fountain Hills Soccer Club 2012 Boys Black,0,0,League Play,2025-03-24,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,goodyear soccer club 2012 boys blue,FC Elite Arizona 2012 Boys Gold,Goodyear Soccer Club 2012 Boys Blue,5,0,League Play,2025-08-08,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,chandler soccer club 2012 boys gold,FC Elite Arizona 2012 Boys Gold,Chandler Soccer Club 2012 Boys Gold,5,0,League Play,2025-10-09,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,az soccer club 2012 boys gold,FC Elite Arizona 2012 Boys Gold,AZ Soccer Club 2012 Boys Gold,5,0,League Play,2024-11-25,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,buckeye soccer club 2012 boys blue,FC Elite Arizona 2012 Boys Gold,Buckeye Soccer Club 2012 Boys Blue,3,0,League Play,2024-12-08,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,cave creek soccer club 2012 boys gold,FC Elite Arizona 2012 Boys Gold,Cave Creek Soccer Club 2012 Boys Gold,2,4,League Play,2025-03-28,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,goodyear soccer club 2012 boys red,FC Elite Arizona 2012 Boys Gold,Goodyear Soccer Club 2012 Boys Red,3,5,League Play,2025-05-30,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,fountain hills soccer club 2012 boys black,FC Elite Arizona 2012 Boys Gold,Fountain Hills Soccer Club 2012 Boys Black,1,5,League Play,2025-03-16,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,buckeye soccer club 2012 boys blue,FC Elite Arizona 2012 Boys Gold,Buckeye Soccer Club 2012 Boys Blue,4,3,League Play,2025-06-28,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,tempe soccer club 2012 boys blue,FC Elite Arizona 2012 Boys Gold,Tempe Soccer Club 2012 Boys Blue,4,0,League Play,2025-03-05,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,tempe soccer club 2012 boys blue,FC Elite Arizona 2012 Boys Gold,Tempe Soccer Club 2012 Boys Blue,4,3,League Play,2024-11-22,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,desert sc 2012 boys blue,FC Elite Arizona 2012 Boys Gold,Desert SC 2012 Boys Blue,1,1,League Play,2025-01-06,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,phoenix rising fc 2012 boys blue,FC Elite Arizona 2012 Boys Gold,Phoenix Rising FC 2012 Boys Blue,5,3,League Play,2025-05-12,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,desert sc 2012 boys black,FC Elite Arizona 2012 Boys Gold,Desert SC 2012 Boys Black,1,2,League Play,2025-01-22,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,desert sc 2012 boys red,FC Elite Arizona 2012 Boys Gold,Desert SC 2012 Boys Red,2,0,League Play,2025-05-22,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,cave creek soccer club 2012 boys black,FC Elite Arizona 2012 Boys Gold,Cave Creek Soccer Club 2012 Boys Black,5,3,League Play,2025-10-06,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,mesa soccer club 2012 boys red,FC Elite Arizona 2012 Boys Gold,Mesa Soccer Club 2012 Boys Red,0,5,League Play,2024-11-05,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
fc elite arizona 2012 boys gold,tempe soccer club 2012 boys blue,FC Elite Arizona 2012 Boys Gold,Tempe Soccer Club 2012 Boys Blue,3,0,League Play,2024-12-31,az_boys_u14,https://rankings.gotsport.com/teams/u14_1
