Team A,Team B,Score A,Score B,Date
goodyear soccer club 2013 boys white,casa grande soccer club 2013 boys gold,2,4,2025-07-29
goodyear soccer club 2013 boys white,fc elite arizona 2013 boys blue,2,0,2025-07-17
goodyear soccer club 2013 boys white,fountain hills soccer club 2013 boys blue,0,1,2025-06-28
goodyear soccer club 2013 boys white,chandler soccer club 2013 boys red,3,3,2025-02-10
goodyear soccer club 2013 boys white,az arsenal soccer club 2013 boys white,5,0,2025-06-04
goodyear soccer club 2013 boys white,gilbert soccer club 2013 boys blue,0,1,2024-10-21
goodyear soccer club 2013 boys white,rsl-az south 2013 boys blue,3,4,2025-01-01
goodyear soccer club 2013 boys white,gilbert soccer club 2013 boys black,2,0,2025-09-09
goodyear soccer club 2013 boys white,az soccer club 2013 boys blue,0,5,2025-04-11
goodyear soccer club 2013 boys white,scottsdale soccer club 2013 boys red,0,3,2025-07-09
goodyear soccer club 2013 boys white,fountain hills soccer club 2013 boys blue,0,4,2025-08-13
goodyear soccer club 2013 boys white,az soccer club 2013 boys black,1,3,2025-09-09
goodyear soccer club 2013 boys white,casa grande soccer club 2013 boys blue,1,0,2024-12-29
goodyear soccer club 2013 boys white,queen creek soccer club 2013 boys red,1,1,2025-07-24
goodyear soccer club 2013 boys white,fc elite arizona 2013 boys blue,1,4,2025-06-25
goodyear soccer club 2013 boys white,fc elite arizona 2013 boys blue,4,4,2025-08-21
goodyear soccer club 2013 boys white,fc elite arizona 2013 boys red,5,3,2025-09-06
goodyear soccer club 2013 boys white,fc tucson youth soccer 2013 boys black,2,4,2025-01-06
goodyear soccer club 2013 boys white,cave creek soccer club 2013 boys white,0,0,2024-11-25
goodyear soccer club 2013 boys white,avondale soccer club 2013 boys gold,5,0,2025-05-23
goodyear soccer club 2013 boys white,queen creek soccer club 2013 boys gold,2,3,2025-08-08
goodyear soccer club 2013 boys white,paradise valley soccer club 2013 boys blue,5,3,2025-07-13
goodyear soccer club 2013 boys white,paradise valley soccer club 2013 boys gold,1,1,2025-10-01
goodyear soccer club 2013 boys white,fc elite arizona 2013 boys blue,3,3,2025-09-27
goodyear soccer club 2013 boys white,az soccer club 2013 boys gold,1,1,2025-06-02
goodyear soccer club 2013 boys white,queen creek soccer club 2013 boys gold,3,1,2025-03-17
goodyear soccer club 2013 boys white,rsl-az west valley 2013 boys white,3,1,2025-04-02
goodyear soccer club 2013 boys white,apache junction soccer club 2013 boys white,3,4,2024-11-04
fountain hills soccer club 2013 boys blue,fc tucson youth soccer 2013 boys white,5,4,2024-10-28
fountain hills soccer club 2013 boys blue,buckeye soccer club 2013 boys blue,5,2,2025-07-22
fountain hills soccer club 2013 boys blue,glendale soccer club 2013 boys blue,3,5,2025-09-06
fountain hills soccer club 2013 boys blue,apache junction soccer club 2013 boys white,1,0,2025-10-07
fountain hills soccer club 2013 boys blue,cave creek soccer club 2013 boys white,4,0,2025-05-19
fountain hills soccer club 2013 boys blue,scottsdale soccer club 2013 boys blue,4,4,2025-04-03
fountain hills soccer club 2013 boys blue,scottsdale soccer club 2013 boys blue,5,0,2025-09-11
fountain hills soccer club 2013 boys blue,goodyear soccer club 2013 boys blue,2,5,2025-05-30
fountain hills soccer club 2013 boys blue,rsl-az north 2013 boys red,0,5,2025-07-30
fountain hills soccer club 2013 boys blue,rsl-az yuma 2013 boys gold,0,1,2025-01-09
fountain hills soccer club 2013 boys blue,rsl-az south 2013 boys blue,0,4,2025-02-26
fountain hills soccer club 2013 boys blue,mesa soccer club 2013 boys gold,0,4,2024-12-03
fountain hills soccer club 2013 boys blue,mesa soccer club 2013 boys red,5,2,2024-12-02
fountain hills soccer club 2013 boys blue,chandler soccer club 2013 boys white,3,2,2025-05-21
fountain hills soccer club 2013 boys blue,chandler soccer club 2013 boys gold,3,0,2025-03-06
fountain hills soccer club 2013 boys blue,buckeye soccer club 2013 boys white,5,3,2024-12-18
fountain hills soccer club 2013 boys blue,fc tucson youth soccer 2013 boys white,3,5,2025-09-12
fountain hills soccer club 2013 boys blue,paradise valley soccer club 2013 boys blue,0,1,2025-06-11
fountain hills soccer club 2013 boys blue,az arsenal soccer club 2013 boys gold,4,5,2025-09-15
fountain hills soccer club 2013 boys blue,rsl-az west valley 2013 boys gold,4,2,2024-10-17
fountain hills soccer club 2013 boys blue,glendale soccer club 2013 boys gold,3,5,2025-09-13
fountain hills soccer club 2013 boys blue,goodyear soccer club 2013 boys red,0,3,2025-03-14
fountain hills soccer club 2013 boys blue,queen creek soccer club 2013 boys black,0,1,2025-07-28
fountain hills soccer club 2013 boys blue,surprise soccer club 2013 boys gold,3,2,2025-06-30
fountain hills soccer club 2013 boys blue,peoria soccer club 2013 boys white,0,5,2025-06-22
fountain hills soccer club 2013 boys blue,apache junction soccer club 2013 boys black,5,5,2025-05-08
fountain hills soccer club 2013 boys blue,paradise valley soccer club 2013 boys gold,1,4,2024-11-05
fountain hills soccer club 2013 boys blue,fc tucson youth soccer 2013 boys white,0,2,2024-12-09
fc elite arizona 2013 boys blue,buckeye soccer club 2013 boys blue,1,0,2025-06-16
fc elite arizona 2013 boys blue,fc elite arizona 2013 boys red,1,0,2025-04-29
