Team A,Team B,Score A,Score B,Date,Competition,SourceURL
elite arizona 2012 gold,phoenix premier 2012 red,3,4,2025-08-17,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,queen creek soccer club 2012 black,1,4,2025-09-02,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,paradise valley soccer club 2012 black,0,1,2025-02-27,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,paradise valley soccer club 2012 black,5,5,2025-08-23,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,az soccer club 2012 red,1,4,2024-12-20,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,mesa soccer club 2012 red,3,2,2024-11-08,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,fountain hills soccer club 2012 black,0,0,2025-03-24,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,goodyear soccer club 2012 blue,5,0,2025-08-08,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,chandler soccer club 2012 gold,5,0,2025-10-09,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,az soccer club 2012 gold,5,0,2024-11-25,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,buckeye soccer club 2012 blue,3,0,2024-12-08,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,cave creek soccer club 2012 gold,2,4,2025-03-28,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,goodyear soccer club 2012 red,3,5,2025-05-30,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,fountain hills soccer club 2012 black,1,5,2025-03-16,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,buckeye soccer club 2012 blue,4,3,2025-06-28,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,tempe soccer club 2012 blue,4,0,2025-03-05,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,tempe soccer club 2012 blue,4,3,2024-11-22,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,desert 2012 blue,1,1,2025-01-06,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,phoenix rising 2012 blue,5,3,2025-05-12,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,desert 2012 black,1,2,2025-01-22,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,desert 2012 red,2,0,2025-05-22,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,cave creek soccer club 2012 black,5,3,2025-10-06,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,mesa soccer club 2012 red,0,5,2024-11-05,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,tempe soccer club 2012 blue,3,0,2024-12-31,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,surprise soccer club 2012 gold,1,4,2025-09-14,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,glendale soccer club 2012 blue,3,5,2024-10-28,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,tempe soccer club 2012 blue,4,3,2025-09-13,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,valley united 2012 black,3,4,2025-01-20,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,cave creek soccer club 2012 black,5,5,2025-05-02,League Play,https://rankings.gotsport.com/teams/u14_1
elite arizona 2012 gold,desert 2012 black,0,0,2024-12-09,League Play,https://rankings.gotsport.com/teams/u14_1
desert 2012 blue,rsl-az west valley 2012 red,3,5,2024-12-27,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,phoenix premier 2012 red,1,1,2025-08-03,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,paradise valley soccer club 2012 black,0,2,2025-07-12,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,az soccer club 2012 gold,5,4,2025-06-04,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,tempe soccer club 2012 blue,1,4,2024-11-23,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,goodyear soccer club 2012 red,5,0,2024-12-22,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,phoenix premier 2012 red,2,5,2025-10-10,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,mesa soccer club 2012 red,2,0,2025-07-13,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,phoenix premier 2012 red,5,1,2025-04-13,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,mesa soccer club 2012 red,5,1,2024-12-30,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,chandler soccer club 2012 gold,2,3,2024-10-27,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,chandler soccer club 2012 red,1,3,2025-05-24,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,tempe soccer club 2012 blue,3,5,2025-04-28,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,desert 2012 gold,4,4,2025-04-21,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,fountain hills soccer club 2012 black,0,2,2025-08-24,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,fountain hills soccer club 2012 white,5,0,2024-12-20,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,chandler soccer club 2012 white,5,0,2025-02-19,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,queen creek soccer club 2012 white,2,4,2025-06-04,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,avondale soccer club 2012 black,1,2,2025-09-09,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,tempe soccer club 2012 blue,0,0,2025-05-17,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,surprise soccer club 2012 gold,2,3,2024-11-02,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,rsl-az north 2012 blue,5,4,2025-07-02,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,az arsenal soccer club 2012 white,5,5,2024-10-26,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,queen creek soccer club 2012 white,2,3,2025-01-23,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,apache junction soccer club 2012 gold,0,1,2024-11-15,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,desert 2012 black,2,4,2025-03-14,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,queen creek soccer club 2012 white,4,5,2025-06-23,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,rsl-az west valley 2012 gold,1,3,2025-06-27,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,desert 2012 gold,2,3,2024-10-17,League Play,https://rankings.gotsport.com/teams/u14_2
desert 2012 blue,apache junction soccer club 2012 blue,2,0,2025-01-07,League Play,https://rankings.gotsport.com/teams/u14_2
casa grande soccer club 2012 blue,rsl-az south 2012 white,2,3,2025-08-13,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,phoenix premier 2012 red,4,3,2025-03-21,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,mesa soccer club 2012 red,1,0,2025-08-09,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,queen creek soccer club 2012 black,2,2,2025-07-17,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,tempe soccer club 2012 blue,0,4,2025-03-27,League Play,https://rankings.gotsport.com/teams/u14_3
casa grande soccer club 2012 blue,gilbert soccer club 2012 white,2,3,2024-11-08,League Play,https://rankings.gotsport.com/teams/u14_3
