Team A,Team B,Score A,Score B,Date
fc elite arizona 2012 boys gold,phoenix premier fc 2012 boys red,3,4,2025-08-17
fc elite arizona 2012 boys gold,queen creek soccer club 2012 boys black,1,4,2025-09-02
fc elite arizona 2012 boys gold,paradise valley soccer club 2012 boys black,0,1,2025-02-27
fc elite arizona 2012 boys gold,paradise valley soccer club 2012 boys black,5,5,2025-08-23
fc elite arizona 2012 boys gold,az soccer club 2012 boys red,1,4,2024-12-20
fc elite arizona 2012 boys gold,mesa soccer club 2012 boys red,3,2,2024-11-08
fc elite arizona 2012 boys gold,fountain hills soccer club 2012 boys black,0,0,2025-03-24
fc elite arizona 2012 boys gold,goodyear soccer club 2012 boys blue,5,0,2025-08-08
fc elite arizona 2012 boys gold,chandler soccer club 2012 boys gold,5,0,2025-10-09
fc elite arizona 2012 boys gold,az soccer club 2012 boys gold,5,0,2024-11-25
fc elite arizona 2012 boys gold,buckeye soccer club 2012 boys blue,3,0,2024-12-08
fc elite arizona 2012 boys gold,cave creek soccer club 2012 boys gold,2,4,2025-03-28
fc elite arizona 2012 boys gold,goodyear soccer club 2012 boys red,3,5,2025-05-30
fc elite arizona 2012 boys gold,fountain hills soccer club 2012 boys black,1,5,2025-03-16
fc elite arizona 2012 boys gold,buckeye soccer club 2012 boys blue,4,3,2025-06-28
fc elite arizona 2012 boys gold,tempe soccer club 2012 boys blue,4,0,2025-03-05
fc elite arizona 2012 boys gold,tempe soccer club 2012 boys blue,4,3,2024-11-22
fc elite arizona 2012 boys gold,desert sc 2012 boys blue,1,1,2025-01-06
fc elite arizona 2012 boys gold,phoenix rising fc 2012 boys blue,5,3,2025-05-12
fc elite arizona 2012 boys gold,desert sc 2012 boys black,1,2,2025-01-22
fc elite arizona 2012 boys gold,desert sc 2012 boys red,2,0,2025-05-22
fc elite arizona 2012 boys gold,cave creek soccer club 2012 boys black,5,3,2025-10-06
fc elite arizona 2012 boys gold,mesa soccer club 2012 boys red,0,5,2024-11-05
fc elite arizona 2012 boys gold,tempe soccer club 2012 boys blue,3,0,2024-12-31
fc elite arizona 2012 boys gold,surprise soccer club 2012 boys gold,1,4,2025-09-14
fc elite arizona 2012 boys gold,glendale soccer club 2012 boys blue,3,5,2024-10-28
fc elite arizona 2012 boys gold,tempe soccer club 2012 boys blue,4,3,2025-09-13
fc elite arizona 2012 boys gold,valley united fc 2012 boys black,3,4,2025-01-20
fc elite arizona 2012 boys gold,cave creek soccer club 2012 boys black,5,5,2025-05-02
fc elite arizona 2012 boys gold,desert sc 2012 boys black,0,0,2024-12-09
desert sc 2012 boys blue,rsl-az west valley 2012 boys red,3,5,2024-12-27
desert sc 2012 boys blue,phoenix premier fc 2012 boys red,1,1,2025-08-03
desert sc 2012 boys blue,paradise valley soccer club 2012 boys black,0,2,2025-07-12
desert sc 2012 boys blue,az soccer club 2012 boys gold,5,4,2025-06-04
desert sc 2012 boys blue,tempe soccer club 2012 boys blue,1,4,2024-11-23
desert sc 2012 boys blue,goodyear soccer club 2012 boys red,5,0,2024-12-22
desert sc 2012 boys blue,phoenix premier fc 2012 boys red,2,5,2025-10-10
desert sc 2012 boys blue,mesa soccer club 2012 boys red,2,0,2025-07-13
desert sc 2012 boys blue,phoenix premier fc 2012 boys red,5,1,2025-04-13
desert sc 2012 boys blue,mesa soccer club 2012 boys red,5,1,2024-12-30
desert sc 2012 boys blue,chandler soccer club 2012 boys gold,2,3,2024-10-27
desert sc 2012 boys blue,chandler soccer club 2012 boys red,1,3,2025-05-24
desert sc 2012 boys blue,tempe soccer club 2012 boys blue,3,5,2025-04-28
desert sc 2012 boys blue,desert sc 2012 boys gold,4,4,2025-04-21
desert sc 2012 boys blue,fountain hills soccer club 2012 boys black,0,2,2025-08-24
desert sc 2012 boys blue,fountain hills soccer club 2012 boys white,5,0,2024-12-20
desert sc 2012 boys blue,chandler soccer club 2012 boys white,5,0,2025-02-19
desert sc 2012 boys blue,queen creek soccer club 2012 boys white,2,4,2025-06-04
desert sc 2012 boys blue,avondale soccer club 2012 boys black,1,2,2025-09-09
desert sc 2012 boys blue,tempe soccer club 2012 boys blue,0,0,2025-05-17
desert sc 2012 boys blue,surprise soccer club 2012 boys gold,2,3,2024-11-02
desert sc 2012 boys blue,rsl-az north 2012 boys blue,5,4,2025-07-02
desert sc 2012 boys blue,az arsenal soccer club 2012 boys white,5,5,2024-10-26
desert sc 2012 boys blue,queen creek soccer club 2012 boys white,2,3,2025-01-23
desert sc 2012 boys blue,apache junction soccer club 2012 boys gold,0,1,2024-11-15
