Team,Opponent,TeamRaw,OpponentRaw,TeamScore,OpponentScore,Competition,Date,Division,TeamURL
goodyear soccer club 2013 boys white,casa grande soccer club 2013 boys gold,Goodyear Soccer Club 2013 Boys White,Casa Grande Soccer Club 2013 Boys Gold,2,4,League Play,2025-07-29,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,fc elite arizona 2013 boys blue,Goodyear Soccer Club 2013 Boys White,FC Elite Arizona 2013 Boys Blue,2,0,League Play,2025-07-17,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,fountain hills soccer club 2013 boys blue,Goodyear Soccer Club 2013 Boys White,Fountain Hills Soccer Club 2013 Boys Blue,0,1,League Play,2025-06-28,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,chandler soccer club 2013 boys red,Goodyear Soccer Club 2013 Boys White,Chandler Soccer Club 2013 Boys Red,3,3,League Play,2025-02-10,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,az arsenal soccer club 2013 boys white,Goodyear Soccer Club 2013 Boys White,AZ Arsenal Soccer Club 2013 Boys White,5,0,League Play,2025-06-04,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,gilbert soccer club 2013 boys blue,Goodyear Soccer Club 2013 Boys White,Gilbert Soccer Club 2013 Boys Blue,0,1,League Play,2024-10-21,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,rsl-az south 2013 boys blue,Goodyear Soccer Club 2013 Boys White,RSL-AZ South 2013 Boys Blue,3,4,League Play,2025-01-01,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,gilbert soccer club 2013 boys black,Goodyear Soccer Club 2013 Boys White,Gilbert Soccer Club 2013 Boys Black,2,0,League Play,2025-09-09,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,az soccer club 2013 boys blue,Goodyear Soccer Club 2013 Boys White,AZ Soccer Club 2013 Boys Blue,0,5,League Play,2025-04-11,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,scottsdale soccer club 2013 boys red,Goodyear Soccer Club 2013 Boys White,Scottsdale Soccer Club 2013 Boys Red,0,3,League Play,2025-07-09,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,fountain hills soccer club 2013 boys blue,Goodyear Soccer Club 2013 Boys White,Fountain Hills Soccer Club 2013 Boys Blue,0,4,League Play,2025-08-13,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,az soccer club 2013 boys black,Goodyear Soccer Club 2013 Boys White,AZ Soccer Club 2013 Boys Black,1,3,League Play,2025-09-09,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,casa grande soccer club 2013 boys blue,Goodyear Soccer Club 2013 Boys White,Casa Grande Soccer Club 2013 Boys Blue,1,0,League Play,2024-12-29,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,queen creek soccer club 2013 boys red,Goodyear Soccer Club 2013 Boys White,Queen Creek Soccer Club 2013 Boys Red,1,1,League Play,2025-07-24,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,fc elite arizona 2013 boys blue,Goodyear Soccer Club 2013 Boys White,FC Elite Arizona 2013 Boys Blue,1,4,League Play,2025-06-25,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,fc elite arizona 2013 boys blue,Goodyear Soccer Club 2013 Boys White,FC Elite Arizona 2013 Boys Blue,4,4,League Play,2025-08-21,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,fc elite arizona 2013 boys red,Goodyear Soccer Club 2013 Boys White,FC Elite Arizona 2013 Boys Red,5,3,League Play,2025-09-06,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,fc tucson youth soccer 2013 boys black,Goodyear Soccer Club 2013 Boys White,FC Tucson Youth Soccer 2013 Boys Black,2,4,League Play,2025-01-06,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,cave creek soccer club 2013 boys white,Goodyear Soccer Club 2013 Boys White,Cave Creek Soccer Club 2013 Boys White,0,0,League Play,2024-11-25,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,avondale soccer club 2013 boys gold,Goodyear Soccer Club 2013 Boys White,Avondale Soccer Club 2013 Boys Gold,5,0,League Play,2025-05-23,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,queen creek soccer club 2013 boys gold,Goodyear Soccer Club 2013 Boys White,Queen Creek Soccer Club 2013 Boys Gold,2,3,League Play,2025-08-08,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,paradise valley soccer club 2013 boys blue,Goodyear Soccer Club 2013 Boys White,Paradise Valley Soccer Club 2013 Boys Blue,5,3,League Play,2025-07-13,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,paradise valley soccer club 2013 boys gold,Goodyear Soccer Club 2013 Boys White,Paradise Valley Soccer Club 2013 Boys Gold,1,1,League Play,2025-10-01,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,fc elite arizona 2013 boys blue,Goodyear Soccer Club 2013 Boys White,FC Elite Arizona 2013 Boys Blue,3,3,League Play,2025-09-27,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,az soccer club 2013 boys gold,Goodyear Soccer Club 2013 Boys White,AZ Soccer Club 2013 Boys Gold,1,1,League Play,2025-06-02,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,queen creek soccer club 2013 boys gold,Goodyear Soccer Club 2013 Boys White,Queen Creek Soccer Club 2013 Boys Gold,3,1,League Play,2025-03-17,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,rsl-az west valley 2013 boys white,Goodyear Soccer Club 2013 Boys White,RSL-AZ West Valley 2013 Boys White,3,1,League Play,2025-04-02,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
goodyear soccer club 2013 boys white,apache junction soccer club 2013 boys white,Goodyear Soccer Club 2013 Boys White,Apache Junction Soccer Club 2013 Boys White,3,4,League Play,2024-11-04,az_boys_u13,https://rankings.gotsport.com/teams/u13_1
