Team,Opponent,TeamRaw,OpponentRaw,TeamScore,OpponentScore,Competition,Date,Division,TeamURL
fc elite arizona 2015 boys blue,paladin soccer club 2015 boys white,FC Elite Arizona 2015 Boys Blue,Paladin Soccer Club 2015 Boys White,1,2,Cactus Cup,2025-08-28,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,fc arizona 2015 boys black,FC Elite Arizona 2015 Boys Blue,FC Arizona 2015 Boys Black,2,3,Arizona U11 State League,2024-10-21,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,az arsenal soccer club 2015 boys white,FC Elite Arizona 2015 Boys Blue,AZ Arsenal Soccer Club 2015 Boys White,0,4,Valley Championship,2024-11-11,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,thunderbird fc 2015 boys white,FC Elite Arizona 2015 Boys Blue,Thunderbird FC 2015 Boys White,1,1,Arizona U11 State League,2024-11-20,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,real arizona fc 2015 boys red,FC Elite Arizona 2015 Boys Blue,Real Arizona FC 2015 Boys Red,2,1,AZ Cup,2024-12-12,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,united latinos sc 2015 boys black,FC Elite Arizona 2015 Boys Blue,United Latinos SC 2015 Boys Black,0,3,Phoenix Premier League,2025-04-02,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,arizona soccer club 2015 boys black,FC Elite Arizona 2015 Boys Blue,Arizona Soccer Club 2015 Boys Black,0,4,AZ Cup,2025-06-17,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,arizona soccer club 2015 boys black,FC Elite Arizona 2015 Boys Blue,Arizona Soccer Club 2015 Boys Black,1,4,Valley Championship,2025-06-29,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,dynamos sc 2015 boys blue,FC Elite Arizona 2015 Boys Blue,Dynamos SC 2015 Boys Blue,3,3,Arizona U11 State League,2025-04-25,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,scottsdale city fc 2015 boys white,FC Elite Arizona 2015 Boys Blue,Scottsdale City FC 2015 Boys White,1,2,Desert Classic,2025-03-01,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,rsl-az north 2015 boys white,FC Elite Arizona 2015 Boys Blue,RSL-AZ North 2015 Boys White,2,0,Desert Classic,2025-10-03,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,fc sonora 2015 boys red,FC Elite Arizona 2015 Boys Blue,FC Sonora 2015 Boys Red,2,1,Phoenix Premier League,2025-10-02,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,paris saint-germain academy phoenix 2015 boys white,FC Elite Arizona 2015 Boys Blue,Paris Saint-Germain Academy Phoenix 2015 Boys White,4,0,Phoenix Premier League,2024-11-01,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,sc union maricopa academy 2015 boys white,FC Elite Arizona 2015 Boys Blue,SC Union Maricopa Academy 2015 Boys White,3,0,Cactus Cup,2025-06-16,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,rsl-az north 2015 boys red,FC Elite Arizona 2015 Boys Blue,RSL-AZ North 2015 Boys Red,4,0,Phoenix Premier League,2025-06-24,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,fc arizona 2015 boys red,FC Elite Arizona 2015 Boys Blue,FC Arizona 2015 Boys Red,0,4,Valley Championship,2025-08-02,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,fc arizona 2015 boys blue,FC Elite Arizona 2015 Boys Blue,FC Arizona 2015 Boys Blue,2,3,Phoenix Premier League,2025-09-26,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,spartans fc (az) 2015 boys red,FC Elite Arizona 2015 Boys Blue,Spartans FC (AZ) 2015 Boys Red,2,4,Cactus Cup,2025-04-03,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,paris saint-germain academy phoenix 2015 boys white,FC Elite Arizona 2015 Boys Blue,Paris Saint-Germain Academy Phoenix 2015 Boys White,4,4,Phoenix Premier League,2025-01-10,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,arizona soccer club 2015 boys blue,FC Elite Arizona 2015 Boys Blue,Arizona Soccer Club 2015 Boys Blue,2,1,Cactus Cup,2025-05-19,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys blue,ayso 350 alliance 2015 boys blue,FC Elite Arizona 2015 Boys Blue,AYSO 350 Alliance 2015 Boys Blue,1,0,Arizona U11 State League,2025-09-18,az_boys_u11,https://rankings.gotsport.com/teams/u11_1
fc elite arizona 2015 boys white,sun warriors azfc 2015 boys black,FC Elite Arizona 2015 Boys White,Sun Warriors AZFC 2015 Boys Black,3,1,Phoenix Premier League,2025-07-27,az_boys_u11,https://rankings.gotsport.com/teams/u11_2
fc elite arizona 2015 boys white,sc union maricopa academy 2015 boys white,FC Elite Arizona 2015 Boys White,SC Union Maricopa Academy 2015 Boys White,2,3,Desert Classic,2025-02-08,az_boys_u11,https://rankings.gotsport.com/teams/u11_2
fc elite arizona 2015 boys white,phoenix united futbol club 2015 boys,FC Elite Arizona 2015 Boys White,Phoenix United Futbol Club 2015 Boys,2,1,AZ Cup,2024-12-13,az_boys_u11,https://rankings.gotsport.com/teams/u11_2
fc elite arizona 2015 boys white,la academia fc 2015 boys blue,FC Elite Arizona 2015 Boys White,La Academia FC 2015 Boys Blue,4,4,Phoenix Premier League,2025-06-25,az_boys_u11,https://rankings.gotsport.com/teams/u11_2
fc elite arizona 2015 boys white,real arizona fc 2015 boys blue,FC Elite Arizona 2015 Boys White,Real Arizona FC 2015 Boys Blue,1,3,Phoenix Premier League,2025-07-14,az_boys_u11,https://rankings.gotsport.com/teams/u11_2
fc elite arizona 2015 boys white,canyon del oro soccer club 2015 boys red,FC Elite Arizona 2015 Boys White,Canyon Del Oro Soccer Club 2015 Boys Red,3,2,Cactus Cup,2025-02-22,az_boys_u11,https://rankings.gotsport.com/teams/u11_2
fc elite arizona 2015 boys white,la academia fc 2015 boys red,FC Elite Arizona 2015 Boys White,La Academia FC 2015 Boys Red,0,4,Arizona U11 State League,2025-03-01,az_boys_u11,https://rankings.gotsport.com/teams/u11_2
fc elite arizona 2015 boys white,canyon del oro soccer club 2015 boys red,FC Elite Arizona 2015 Boys White,Canyon Del Oro Soccer Club 2015 Boys Red,1,0,Valley Championship,2025-09-20,az_boys_u11,https://rankings.gotsport.com/teams/u11_2
fc elite arizona 2015 boys white,sc union maricopa academy 2015 boys white,FC Elite Arizona 2015 Boys White,SC Union Maricopa Academy 2015 Boys White,2,2,Phoenix Premier League,2024-11-14,az_boys_u11,https://rankings.gotsport.com/teams/u11_2
