Team A,Team B,Score A,Score B,Date
az arsenal soccer club 2016 boys gold,scottsdale soccer club 2016 boys blue,3,2,2025-03-19
az arsenal soccer club 2016 boys gold,rsl-az south 2016 boys gold,3,0,2025-02-01
az arsenal soccer club 2016 boys gold,mesa soccer club 2016 boys gold,3,0,2025-03-23
az arsenal soccer club 2016 boys gold,fountain hills soccer club 2016 boys blue,1,4,2025-04-03
az arsenal soccer club 2016 boys gold,casa grande soccer club 2016 boys black,2,0,2025-05-21
az arsenal soccer club 2016 boys gold,peoria soccer club 2016 boys white,2,2,2025-09-14
az arsenal soccer club 2016 boys gold,casa grande soccer club 2016 boys black,0,4,2025-03-31
az arsenal soccer club 2016 boys gold,buckeye soccer club 2016 boys gold,3,2,2025-06-24
az arsenal soccer club 2016 boys gold,rsl-az yuma 2016 boys red,4,1,2025-02-17
az arsenal soccer club 2016 boys gold,queen creek soccer club 2016 boys white,1,2,2025-06-19
az arsenal soccer club 2016 boys gold,cave creek soccer club 2016 boys white,3,1,2025-02-26
az arsenal soccer club 2016 boys gold,rsl-az north 2016 boys black,0,3,2025-01-28
az arsenal soccer club 2016 boys gold,scottsdale soccer club 2016 boys gold,4,0,2025-05-23
az arsenal soccer club 2016 boys gold,desert sc 2016 boys white,1,1,2024-12-22
az arsenal soccer club 2016 boys gold,queen creek soccer club 2016 boys blue,0,1,2025-01-10
az arsenal soccer club 2016 boys gold,rsl-az west valley 2016 boys black,0,1,2025-02-05
az arsenal soccer club 2016 boys gold,fc tucson youth soccer 2016 boys gold,4,3,2025-09-03
az arsenal soccer club 2016 boys gold,avondale soccer club 2016 boys white,1,4,2025-03-31
az arsenal soccer club 2016 boys gold,fc elite arizona 2016 boys blue,2,3,2025-03-14
az arsenal soccer club 2016 boys gold,gilbert soccer club 2016 boys white,0,4,2025-01-20
az arsenal soccer club 2016 boys gold,paradise valley soccer club 2016 boys blue,4,0,2025-09-30
az arsenal soccer club 2016 boys gold,valley united fc 2016 boys black,2,3,2025-04-14
az arsenal soccer club 2016 boys gold,az arsenal soccer club 2016 boys blue,4,0,2025-02-20
az arsenal soccer club 2016 boys gold,rsl-az yuma 2016 boys gold,2,3,2025-06-15
az arsenal soccer club 2016 boys gold,phoenix premier fc 2016 boys gold,4,0,2025-09-21
scottsdale soccer club 2016 boys black,az soccer club 2016 boys gold,1,1,2025-02-20
scottsdale soccer club 2016 boys black,fc elite arizona 2016 boys black,1,1,2025-08-04
scottsdale soccer club 2016 boys black,az arsenal soccer club 2016 boys blue,2,1,2025-04-07
scottsdale soccer club 2016 boys black,az arsenal soccer club 2016 boys blue,4,3,2025-06-17
scottsdale soccer club 2016 boys black,chandler soccer club 2016 boys gold,0,4,2025-05-20
scottsdale soccer club 2016 boys black,queen creek soccer club 2016 boys blue,1,1,2025-03-15
