Team Name,Club,Team ID,State,Gender,Age Group
apache junction soccer club 2016 red,,u10_001,AZ,M,U10
avondale soccer club 2016 red,,u10_002,AZ,M,U10
avondale soccer club 2016 white,,u10_003,AZ,M,U10
az arsenal soccer club 2016 blue,,u10_004,AZ,M,U10
az arsenal soccer club 2016 gold,,u10_005,AZ,M,U10
az soccer club 2016 black,,u10_006,AZ,M,U10
az soccer club 2016 gold,,u10_007,AZ,M,U10
az soccer club 2016 red,,u10_008,AZ,M,U10
az soccer club 2016 white,,u10_009,AZ,M,U10
buckeye soccer club 2016 black,,u10_010,AZ,M,U10
buckeye soccer club 2016 blue,,u10_011,AZ,M,U10
buckeye soccer club 2016 gold,,u10_012,AZ,M,U10
casa grande soccer club 2016 black,,u10_013,AZ,M,U10
casa grande soccer club 2016 blue,,u10_014,AZ,M,U10
casa grande soccer club 2016 gold,,u10_015,AZ,M,U10
casa grande soccer club 2016 red,,u10_016,AZ,M,U10
casa grande soccer club 2016 white,,u10_017,AZ,M,U10
cave creek soccer club 2016 black,,u10_018,AZ,M,U10
cave creek soccer club 2016 white,,u10_019,AZ,M,U10
chandler soccer club 2016 blue,,u10_020,AZ,M,U10
chandler soccer club 2016 gold,,u10_021,AZ,M,U10
chandler soccer club 2016 red,,u10_022,AZ,M,U10
desert 2016 blue,,u10_023,AZ,M,U10
desert 2016 white,,u10_024,AZ,M,U10
elite arizona 2016 black,,u10_025,AZ,M,U10
elite arizona 2016 blue,,u10_026,AZ,M,U10
fountain hills soccer club 2016 blue,,u10_027,AZ,M,U10
fountain hills soccer club 2016 red,,u10_028,AZ,M,U10
fountain hills soccer club 2016 white,,u10_029,AZ,M,U10
gilbert soccer club 2016 black,,u10_030,AZ,M,U10
gilbert soccer club 2016 blue,,u10_031,AZ,M,U10
gilbert soccer club 2016 gold,,u10_032,AZ,M,U10
gilbert soccer club 2016 red,,u10_033,AZ,M,U10
gilbert soccer club 2016 white,,u10_034,AZ,M,U10
glendale soccer club 2016 black,,u10_035,AZ,M,U10
glendale soccer club 2016 blue,,u10_036,AZ,M,U10
glendale soccer club 2016 white,,u10_037,AZ,M,U10
goodyear soccer club 2016 black,,u10_038,AZ,M,U10
goodyear soccer club 2016 gold,,u10_039,AZ,M,U10
maricopa soccer club 2016 black,,u10_040,AZ,M,U10
maricopa soccer club 2016 gold,,u10_041,AZ,M,U10
maricopa soccer club 2016 red,,u10_042,AZ,M,U10
maricopa soccer club 2016 white,,u10_043,AZ,M,U10
mesa soccer club 2016 blue,,u10_044,AZ,M,U10
mesa soccer club 2016 gold,,u10_045,AZ,M,U10
paradise valley soccer club 2016 blue,,u10_046,AZ,M,U10
paradise valley soccer club 2016 gold,,u10_047,AZ,M,U10
paradise valley soccer club 2016 white,,u10_048,AZ,M,U10
peoria soccer club 2016 black,,u10_049,AZ,M,U10
peoria soccer club 2016 gold,,u10_050,AZ,M,U10
peoria soccer club 2016 white,,u10_051,AZ,M,U10
phoenix premier 2016 black,,u10_052,AZ,M,U10
phoenix premier 2016 gold,,u10_053,AZ,M,U10
phoenix premier 2016 red,,u10_054,AZ,M,U10
phoenix rising 2016 gold,,u10_055,AZ,M,U10
phoenix rising 2016 red,,u10_056,AZ,M,U10
queen creek soccer club 2016 blue,,u10_057,AZ,M,U10
queen creek soccer club 2016 gold,,u10_058,AZ,M,U10
queen creek soccer club 2016 white,,u10_059,AZ,M,U10
rsl-az north 2016 black,,u10_060,AZ,M,U10
rsl-az north 2016 blue,,u10_061,AZ,M,U10
rsl-az north 2016 white,,u10_062,AZ,M,U10
rsl-az south 2016 blue,,u10_063,AZ,M,U10
rsl-az south 2016 gold,,u10_064,AZ,M,U10
rsl-az west valley 2016 black,,u10_065,AZ,M,U10
rsl-az west valley 2016 gold,,u10_066,AZ,M,U10
rsl-az west valley 2016 red,,u10_067,AZ,M,U10
rsl-az west valley 2016 white,,u10_068,AZ,M,U10
rsl-az yuma 2016 gold,,u10_069,AZ,M,U10
rsl-az yuma 2016 red,,u10_070,AZ,M,U10
scottsdale soccer club 2016 black,,u10_071,AZ,M,U10
scottsdale soccer club 2016 blue,,u10_072,AZ,M,U10
scottsdale soccer club 2016 gold,,u10_073,AZ,M,U10
scottsdale soccer club 2016 white,,u10_074,AZ,M,U10
surprise soccer club 2016 blue,,u10_075,AZ,M,U10
surprise soccer club 2016 red,,u10_076,AZ,M,U10
tempe soccer club 2016 black,,u10_077,AZ,M,U10
tempe soccer club 2016 white,,u10_078,AZ,M,U10
tucson youth soccer 2016 gold,,u10_079,AZ,M,U10
tucson youth soccer 2016 red,,u10_080,AZ,M,U10
tucson youth soccer 2016 white,,u10_081,AZ,M,U10
valley united 2016 black,,u10_082,AZ,M,U10
valley united 2016 white,,u10_083,AZ,M,U10
