Team Name,Club,Team ID,State,Gender,Age Group
apache junction soccer club 2013 black,,u13_001,AZ,M,U13
apache junction soccer club 2013 blue,,u13_002,AZ,M,U13
apache junction soccer club 2013 white,,u13_003,AZ,M,U13
avondale soccer club 2013 blue,,u13_004,AZ,M,U13
avondale soccer club 2013 gold,,u13_005,AZ,M,U13
avondale soccer club 2013 red,,u13_006,AZ,M,U13
az arsenal soccer club 2013 black,,u13_007,AZ,M,U13
az arsenal soccer club 2013 gold,,u13_008,AZ,M,U13
az arsenal soccer club 2013 red,,u13_009,AZ,M,U13
az arsenal soccer club 2013 white,,u13_010,AZ,M,U13
az soccer club 2013 black,,u13_011,AZ,M,U13
az soccer club 2013 blue,,u13_012,AZ,M,U13
az soccer club 2013 gold,,u13_013,AZ,M,U13
az soccer club 2013 white,,u13_014,AZ,M,U13
buckeye soccer club 2013 blue,,u13_015,AZ,M,U13
buckeye soccer club 2013 gold,,u13_016,AZ,M,U13
buckeye soccer club 2013 white,,u13_017,AZ,M,U13
casa grande soccer club 2013 blue,,u13_018,AZ,M,U13
casa grande soccer club 2013 gold,,u13_019,AZ,M,U13
casa grande soccer club 2013 white,,u13_020,AZ,M,U13
cave creek soccer club 2013 blue,,u13_021,AZ,M,U13
cave creek soccer club 2013 gold,,u13_022,AZ,M,U13
cave creek soccer club 2013 white,,u13_023,AZ,M,U13
chandler soccer club 2013 gold,,u13_024,AZ,M,U13
chandler soccer club 2013 red,,u13_025,AZ,M,U13
chandler soccer club 2013 white,,u13_026,AZ,M,U13
desert 2013 white,,u13_027,AZ,M,U13
elite arizona 2013 blue,,u13_028,AZ,M,U13
elite arizona 2013 red,,u13_029,AZ,M,U13
fountain hills soccer club 2013 blue,,u13_030,AZ,M,U13
fountain hills soccer club 2013 white,,u13_031,AZ,M,U13
gilbert soccer club 2013 black,,u13_032,AZ,M,U13
gilbert soccer club 2013 blue,,u13_033,AZ,M,U13
gilbert soccer club 2013 gold,,u13_034,AZ,M,U13
gilbert soccer club 2013 red,,u13_035,AZ,M,U13
gilbert soccer club 2013 white,,u13_036,AZ,M,U13
glendale soccer club 2013 blue,,u13_037,AZ,M,U13
glendale soccer club 2013 gold,,u13_038,AZ,M,U13
goodyear soccer club 2013 black,,u13_039,AZ,M,U13
goodyear soccer club 2013 blue,,u13_040,AZ,M,U13
goodyear soccer club 2013 red,,u13_041,AZ,M,U13
goodyear soccer club 2013 white,,u13_042,AZ,M,U13
maricopa soccer club 2013 red,,u13_043,AZ,M,U13
mesa soccer club 2013 black,,u13_044,AZ,M,U13
mesa soccer club 2013 gold,,u13_045,AZ,M,U13
mesa soccer club 2013 red,,u13_046,AZ,M,U13
mesa soccer club 2013 white,,u13_047,AZ,M,U13
paradise valley soccer club 2013 blue,,u13_048,AZ,M,U13
paradise valley soccer club 2013 gold,,u13_049,AZ,M,U13
peoria soccer club 2013 blue,,u13_050,AZ,M,U13
peoria soccer club 2013 gold,,u13_051,AZ,M,U13
peoria soccer club 2013 white,,u13_052,AZ,M,U13
phoenix premier 2013 red,,u13_053,AZ,M,U13
phoenix premier 2013 white,,u13_054,AZ,M,U13
phoenix rising 2013 black,,u13_055,AZ,M,U13
phoenix rising 2013 blue,,u13_056,AZ,M,U13
phoenix rising 2013 gold,,u13_057,AZ,M,U13
queen creek soccer club 2013 black,,u13_058,AZ,M,U13
queen creek soccer club 2013 gold,,u13_059,AZ,M,U13
queen creek soccer club 2013 red,,u13_060,AZ,M,U13
rsl-az north 2013 red,,u13_061,AZ,M,U13
rsl-az south 2013 blue,,u13_062,AZ,M,U13
rsl-az south 2013 red,,u13_063,AZ,M,U13
rsl-az west valley 2013 black,,u13_064,AZ,M,U13
rsl-az west valley 2013 blue,,u13_065,AZ,M,U13
rsl-az west valley 2013 gold,,u13_066,AZ,M,U13
rsl-az west valley 2013 white,,u13_067,AZ,M,U13
rsl-az yuma 2013 gold,,u13_068,AZ,M,U13
scottsdale soccer club 2013 blue,,u13_069,AZ,M,U13
scottsdale soccer club 2013 red,,u13_070,AZ,M,U13
scottsdale soccer club 2013 white,,u13_071,AZ,M,U13
surprise soccer club 2013 gold,,u13_072,AZ,M,U13
surprise soccer club 2013 red,,u13_073,AZ,M,U13
tempe soccer club 2013 white,,u13_074,AZ,M,U13
tucson youth soccer 2013 black,,u13_075,AZ,M,U13
tucson youth soccer 2013 blue,,u13_076,AZ,M,U13
tucson youth soccer 2013 red,,u13_077,AZ,M,U13
tucson youth soccer 2013 white,,u13_078,AZ,M,U13
