date_utc,season,competition,venue,home_team_raw,away_team_raw,home_score,away_score,status,source_url,fetched_at,division,home_team_match,home_team_match_score,home_team_match_method,away_team_match,away_team_match_score,away_team_match_method
2025-10-10,2025,AZ_BOYS_U11 League,Home,U11 Team 1,Opponent 0,2,1,COMPLETED,https://rankings.gotsport.com/teamprofile.aspx?teamid=u11_1,2025-10-10T19:32:41,az_boys_u11,U11 Team 1,100.0,EXACT,,28.57142857142857,UNRESOLVED
2025-10-03,2025,AZ_BOYS_U11 League,Away,Opponent 1,U11 Team 1,3,2,COMPLETED,https://rankings.gotsport.com/teamprofile.aspx?teamid=u11_1,2025-10-10T19:32:41,az_boys_u11,,30.000000000000004,UNRESOLVED,U11 Team 1,100.0,EXACT
2025-09-26,2025,AZ_BOYS_U11 League,Home,U11 Team 1,Opponent 2,4,1,COMPLETED,https://rankings.gotsport.com/teamprofile.aspx?teamid=u11_1,2025-10-10T19:32:41,az_boys_u11,U11 Team 1,100.0,EXACT,,30.000000000000004,UNRESOLVED
2025-09-19,2025,AZ_BOYS_U11 League,Away,Opponent 3,U11 Team 1,2,2,COMPLETED,https://rankings.gotsport.com/teamprofile.aspx?teamid=u11_1,2025-10-10T19:32:41,az_boys_u11,,30.000000000000004,UNRESOLVED,U11 Team 1,100.0,EXACT
2025-09-12,2025,AZ_BOYS_U11 League,Home,U11 Team 1,Opponent 4,3,1,COMPLETED,https://rankings.gotsport.com/teamprofile.aspx?teamid=u11_1,2025-10-10T19:32:41,az_boys_u11,U11 Team 1,100.0,EXACT,,30.000000000000004,UNRESOLVED
2025-09-05,2025,AZ_BOYS_U11 League,Away,Opponent 5,U11 Team 1,4,2,COMPLETED,https://rankings.gotsport.com/teamprofile.aspx?teamid=u11_1,2025-10-10T19:32:41,az_boys_u11,,30.000000000000004,UNRESOLVED,U11 Team 1,100.0,EXACT
2025-08-29,2025,AZ_BOYS_U11 League,Home,U11 Team 1,Opponent 6,2,1,COMPLETED,https://rankings.gotsport.com/teamprofile.aspx?teamid=u11_1,2025-10-10T19:32:41,az_boys_u11,U11 Team 1,100.0,EXACT,,30.000000000000004,UNRESOLVED
2025-08-22,2025,AZ_BOYS_U11 League,Away,Opponent 7,U11 Team 1,3,2,COMPLETED,https://rankings.gotsport.com/teamprofile.aspx?teamid=u11_1,2025-10-10T19:32:41,az_boys_u11,,30.000000000000004,UNRESOLVED,U11 Team 1,100.0,EXACT
2025-08-15,2025,AZ_BOYS_U11 League,Home,U11 Team 1,Opponent 8,4,1,COMPLETED,https://rankings.gotsport.com/teamprofile.aspx?teamid=u11_1,2025-10-10T19:32:41,az_boys_u11,U11 Team 1,100.0,EXACT,,30.000000000000004,UNRESOLVED
2025-08-08,2025,AZ_BOYS_U11 League,Away,Opponent 9,U11 Team 1,2,2,COMPLETED,https://rankings.gotsport.com/teamprofile.aspx?teamid=u11_1,2025-10-10T19:32:41,az_boys_u11,,30.000000000000004,UNRESOLVED,U11 Team 1,100.0,EXACT
2025-08-01,2025,AZ_BOYS_U11 League,Home,U11 Team 1,Opponent 10,3,1,COMPLETED,https://rankings.gotsport.com/teamprofile.aspx?teamid=u11_1,2025-10-10T19:32:41,az_boys_u11,U11 Team 1,100.0,EXACT,,36.36363636363637,UNRESOLVED
2025-07-25,2025,AZ_BOYS_U11 League,Away,Opponent 11,U11 Team 1,4,2,COMPLETED,https://rankings.gotsport.com/teamprofile.aspx?teamid=u11_1,2025-10-10T19:32:41,az_boys_u11,,36.36363636363637,UNRESOLVED,U11 Team 1,100.0,EXACT
