Rank,TeamName,TeamCanonical,Club,Points,TeamURL,Division,ScrapeDate
1,Goodyear Soccer Club 2013 Boys White,goodyear soccer club 2013 boys white,Goodyear Soccer Club,21671,https://rankings.gotsport.com/teams/u13_1,az_boys_u13,2025-10-10T20:46:14.687449
2,Fountain Hills Soccer Club 2013 Boys Blue,fountain hills soccer club 2013 boys blue,Fountain Hills Soccer Club,2381,https://rankings.gotsport.com/teams/u13_2,az_boys_u13,2025-10-10T20:46:14.687545
3,FC Elite Arizona 2013 Boys Blue,fc elite arizona 2013 boys blue,FC Elite Arizona,804,https://rankings.gotsport.com/teams/u13_3,az_boys_u13,2025-10-10T20:46:14.687574
4,Phoenix Premier FC 2013 Boys White,phoenix premier fc 2013 boys white,Phoenix Premier FC,9951,https://rankings.gotsport.com/teams/u13_4,az_boys_u13,2025-10-10T20:46:14.687595
5,Mesa Soccer Club 2013 Boys White,mesa soccer club 2013 boys white,Mesa Soccer Club,15032,https://rankings.gotsport.com/teams/u13_5,az_boys_u13,2025-10-10T20:46:14.687614
6,Glendale Soccer Club 2013 Boys Gold,glendale soccer club 2013 boys gold,Glendale Soccer Club,14843,https://rankings.gotsport.com/teams/u13_6,az_boys_u13,2025-10-10T20:46:14.687632
7,Paradise Valley Soccer Club 2013 Boys Gold,paradise valley soccer club 2013 boys gold,Paradise Valley Soccer Club,24801,https://rankings.gotsport.com/teams/u13_7,az_boys_u13,2025-10-10T20:46:14.687650
8,AZ Arsenal Soccer Club 2013 Boys Red,az arsenal soccer club 2013 boys red,AZ Arsenal Soccer Club,23020,https://rankings.gotsport.com/teams/u13_8,az_boys_u13,2025-10-10T20:46:14.687669
9,Avondale Soccer Club 2013 Boys Blue,avondale soccer club 2013 boys blue,Avondale Soccer Club,15489,https://rankings.gotsport.com/teams/u13_9,az_boys_u13,2025-10-10T20:46:14.687688
10,Desert SC 2013 Boys White,desert sc 2013 boys white,Desert SC,3234,https://rankings.gotsport.com/teams/u13_10,az_boys_u13,2025-10-10T20:46:14.687716
11,RSL-AZ Yuma 2013 Boys Gold,rsl-az yuma 2013 boys gold,RSL-AZ Yuma,7257,https://rankings.gotsport.com/teams/u13_11,az_boys_u13,2025-10-10T20:46:14.687734
12,Scottsdale Soccer Club 2013 Boys Blue,scottsdale soccer club 2013 boys blue,Scottsdale Soccer Club,23689,https://rankings.gotsport.com/teams/u13_12,az_boys_u13,2025-10-10T20:46:14.687752
13,RSL-AZ West Valley 2013 Boys Black,rsl-az west valley 2013 boys black,RSL-AZ West Valley,20177,https://rankings.gotsport.com/teams/u13_13,az_boys_u13,2025-10-10T20:46:14.687769
14,Surprise Soccer Club 2013 Boys Gold,surprise soccer club 2013 boys gold,Surprise Soccer Club,9154,https://rankings.gotsport.com/teams/u13_14,az_boys_u13,2025-10-10T20:46:14.687786
15,RSL-AZ West Valley 2013 Boys Gold,rsl-az west valley 2013 boys gold,RSL-AZ West Valley,15870,https://rankings.gotsport.com/teams/u13_15,az_boys_u13,2025-10-10T20:46:14.687811
16,Phoenix Premier FC 2013 Boys White,phoenix premier fc 2013 boys white,Phoenix Premier FC,7114,https://rankings.gotsport.com/teams/u13_16,az_boys_u13,2025-10-10T20:46:14.687831
17,Apache Junction Soccer Club 2013 Boys Black,apache junction soccer club 2013 boys black,Apache Junction Soccer Club,8516,https://rankings.gotsport.com/teams/u13_17,az_boys_u13,2025-10-10T20:46:14.687849
18,Queen Creek Soccer Club 2013 Boys Black,queen creek soccer club 2013 boys black,Queen Creek Soccer Club,11760,https://rankings.gotsport.com/teams/u13_18,az_boys_u13,2025-10-10T20:46:14.687866
19,AZ Arsenal Soccer Club 2013 Boys White,az arsenal soccer club 2013 boys white,AZ Arsenal Soccer Club,10584,https://rankings.gotsport.com/teams/u13_19,az_boys_u13,2025-10-10T20:46:14.687883
20,Chandler Soccer Club 2013 Boys Gold,chandler soccer club 2013 boys gold,Chandler Soccer Club,15467,https://rankings.gotsport.com/teams/u13_20,az_boys_u13,2025-10-10T20:46:14.687900
21,Gilbert Soccer Club 2013 Boys Gold,gilbert soccer club 2013 boys gold,Gilbert Soccer Club,4120,https://rankings.gotsport.com/teams/u13_21,az_boys_u13,2025-10-10T20:46:14.687919
22,Scottsdale Soccer Club 2013 Boys Red,scottsdale soccer club 2013 boys red,Scottsdale Soccer Club,4488,https://rankings.gotsport.com/teams/u13_22,az_boys_u13,2025-10-10T20:46:14.687936
23,Avondale Soccer Club 2013 Boys Red,avondale soccer club 2013 boys red,Avondale Soccer Club,25616,https://rankings.gotsport.com/teams/u13_23,az_boys_u13,2025-10-10T20:46:14.687953
24,Apache Junction Soccer Club 2013 Boys White,apache junction soccer club 2013 boys white,Apache Junction Soccer Club,8611,https://rankings.gotsport.com/teams/u13_24,az_boys_u13,2025-10-10T20:46:14.687970
25,Mesa Soccer Club 2013 Boys Black,mesa soccer club 2013 boys black,Mesa Soccer Club,4665,https://rankings.gotsport.com/teams/u13_25,az_boys_u13,2025-10-10T20:46:14.687988
26,Scottsdale Soccer Club 2013 Boys White,scottsdale soccer club 2013 boys white,Scottsdale Soccer Club,20588,https://rankings.gotsport.com/teams/u13_26,az_boys_u13,2025-10-10T20:46:14.688005
27,AZ Arsenal Soccer Club 2013 Boys Black,az arsenal soccer club 2013 boys black,AZ Arsenal Soccer Club,10462,https://rankings.gotsport.com/teams/u13_27,az_boys_u13,2025-10-10T20:46:14.688022
28,Mesa Soccer Club 2013 Boys Black,mesa soccer club 2013 boys black,Mesa Soccer Club,10176,https://rankings.gotsport.com/teams/u13_28,az_boys_u13,2025-10-10T20:46:14.688040
29,FC Tucson Youth Soccer 2013 Boys White,fc tucson youth soccer 2013 boys white,FC Tucson Youth Soccer,20111,https://rankings.gotsport.com/teams/u13_29,az_boys_u13,2025-10-10T20:46:14.688057
30,Apache Junction Soccer Club 2013 Boys Blue,apache junction soccer club 2013 boys blue,Apache Junction Soccer Club,6617,https://rankings.gotsport.com/teams/u13_30,az_boys_u13,2025-10-10T20:46:14.688075
31,Surprise Soccer Club 2013 Boys Red,surprise soccer club 2013 boys red,Surprise Soccer Club,4874,https://rankings.gotsport.com/teams/u13_31,az_boys_u13,2025-10-10T20:46:14.688092
32,Buckeye Soccer Club 2013 Boys White,buckeye soccer club 2013 boys white,Buckeye Soccer Club,24748,https://rankings.gotsport.com/teams/u13_32,az_boys_u13,2025-10-10T20:46:14.688110
33,RSL-AZ West Valley 2013 Boys Blue,rsl-az west valley 2013 boys blue,RSL-AZ West Valley,4725,https://rankings.gotsport.com/teams/u13_33,az_boys_u13,2025-10-10T20:46:14.688127
34,Gilbert Soccer Club 2013 Boys Blue,gilbert soccer club 2013 boys blue,Gilbert Soccer Club,21843,https://rankings.gotsport.com/teams/u13_34,az_boys_u13,2025-10-10T20:46:14.688145
35,Chandler Soccer Club 2013 Boys Gold,chandler soccer club 2013 boys gold,Chandler Soccer Club,16373,https://rankings.gotsport.com/teams/u13_35,az_boys_u13,2025-10-10T20:46:14.688164
36,Buckeye Soccer Club 2013 Boys Blue,buckeye soccer club 2013 boys blue,Buckeye Soccer Club,447,https://rankings.gotsport.com/teams/u13_36,az_boys_u13,2025-10-10T20:46:14.688183
37,Peoria Soccer Club 2013 Boys White,peoria soccer club 2013 boys white,Peoria Soccer Club,26881,https://rankings.gotsport.com/teams/u13_37,az_boys_u13,2025-10-10T20:46:14.688200
38,Cave Creek Soccer Club 2013 Boys Gold,cave creek soccer club 2013 boys gold,Cave Creek Soccer Club,14604,https://rankings.gotsport.com/teams/u13_38,az_boys_u13,2025-10-10T20:46:14.688227
39,Paradise Valley Soccer Club 2013 Boys Blue,paradise valley soccer club 2013 boys blue,Paradise Valley Soccer Club,3371,https://rankings.gotsport.com/teams/u13_39,az_boys_u13,2025-10-10T20:46:14.688250
40,Apache Junction Soccer Club 2013 Boys White,apache junction soccer club 2013 boys white,Apache Junction Soccer Club,3846,https://rankings.gotsport.com/teams/u13_40,az_boys_u13,2025-10-10T20:46:14.688268
41,RSL-AZ West Valley 2013 Boys White,rsl-az west valley 2013 boys white,RSL-AZ West Valley,7960,https://rankings.gotsport.com/teams/u13_41,az_boys_u13,2025-10-10T20:46:14.688286
42,Goodyear Soccer Club 2013 Boys Black,goodyear soccer club 2013 boys black,Goodyear Soccer Club,3458,https://rankings.gotsport.com/teams/u13_42,az_boys_u13,2025-10-10T20:46:14.688304
43,AZ Arsenal Soccer Club 2013 Boys Black,az arsenal soccer club 2013 boys black,AZ Arsenal Soccer Club,18955,https://rankings.gotsport.com/teams/u13_43,az_boys_u13,2025-10-10T20:46:14.688321
44,FC Tucson Youth Soccer 2013 Boys White,fc tucson youth soccer 2013 boys white,FC Tucson Youth Soccer,28615,https://rankings.gotsport.com/teams/u13_44,az_boys_u13,2025-10-10T20:46:14.688339
45,RSL-AZ West Valley 2013 Boys Black,rsl-az west valley 2013 boys black,RSL-AZ West Valley,3528,https://rankings.gotsport.com/teams/u13_45,az_boys_u13,2025-10-10T20:46:14.688356
