Rank,TeamName,TeamCanonical,Club,Points,TeamURL,Division,ScrapeDate
1,FC Elite Arizona 2012 Boys Gold,fc elite arizona 2012 boys gold,FC Elite Arizona,24000,https://rankings.gotsport.com/teams/u14_1,az_boys_u14,2025-10-10T20:46:14.829905
2,Desert SC 2012 Boys Blue,desert sc 2012 boys blue,Desert SC,3595,https://rankings.gotsport.com/teams/u14_2,az_boys_u14,2025-10-10T20:46:14.829935
3,Casa Grande Soccer Club 2012 Boys Blue,casa grande soccer club 2012 boys blue,Casa Grande Soccer Club,18801,https://rankings.gotsport.com/teams/u14_3,az_boys_u14,2025-10-10T20:46:14.829955
4,Cave Creek Soccer Club 2012 Boys Black,cave creek soccer club 2012 boys black,Cave Creek Soccer Club,28935,https://rankings.gotsport.com/teams/u14_4,az_boys_u14,2025-10-10T20:46:14.829974
5,AZ Arsenal Soccer Club 2012 Boys Blue,az arsenal soccer club 2012 boys blue,AZ Arsenal Soccer Club,13678,https://rankings.gotsport.com/teams/u14_5,az_boys_u14,2025-10-10T20:46:14.829992
6,Valley United FC 2012 Boys Black,valley united fc 2012 boys black,Valley United FC,16380,https://rankings.gotsport.com/teams/u14_6,az_boys_u14,2025-10-10T20:46:14.830021
7,RSL-AZ North 2012 Boys Red,rsl-az north 2012 boys red,RSL-AZ North,28661,https://rankings.gotsport.com/teams/u14_7,az_boys_u14,2025-10-10T20:46:14.830041
8,Gilbert Soccer Club 2012 Boys White,gilbert soccer club 2012 boys white,Gilbert Soccer Club,4974,https://rankings.gotsport.com/teams/u14_8,az_boys_u14,2025-10-10T20:46:14.830059
9,Desert SC 2012 Boys Red,desert sc 2012 boys red,Desert SC,2800,https://rankings.gotsport.com/teams/u14_9,az_boys_u14,2025-10-10T20:46:14.830076
10,Phoenix Rising FC 2012 Boys Blue,phoenix rising fc 2012 boys blue,Phoenix Rising FC,13740,https://rankings.gotsport.com/teams/u14_10,az_boys_u14,2025-10-10T20:46:14.830094
11,AZ Soccer Club 2012 Boys Red,az soccer club 2012 boys red,AZ Soccer Club,6094,https://rankings.gotsport.com/teams/u14_11,az_boys_u14,2025-10-10T20:46:14.830113
12,Queen Creek Soccer Club 2012 Boys White,queen creek soccer club 2012 boys white,Queen Creek Soccer Club,8831,https://rankings.gotsport.com/teams/u14_12,az_boys_u14,2025-10-10T20:46:14.830130
13,RSL-AZ North 2012 Boys Red,rsl-az north 2012 boys red,RSL-AZ North,7056,https://rankings.gotsport.com/teams/u14_13,az_boys_u14,2025-10-10T20:46:14.830147
14,Mesa Soccer Club 2012 Boys Black,mesa soccer club 2012 boys black,Mesa Soccer Club,19228,https://rankings.gotsport.com/teams/u14_14,az_boys_u14,2025-10-10T20:46:14.830164
15,RSL-AZ West Valley 2012 Boys Red,rsl-az west valley 2012 boys red,RSL-AZ West Valley,20066,https://rankings.gotsport.com/teams/u14_15,az_boys_u14,2025-10-10T20:46:14.830181
16,RSL-AZ South 2012 Boys Blue,rsl-az south 2012 boys blue,RSL-AZ South,21702,https://rankings.gotsport.com/teams/u14_16,az_boys_u14,2025-10-10T20:46:14.830198
17,RSL-AZ North 2012 Boys White,rsl-az north 2012 boys white,RSL-AZ North,4179,https://rankings.gotsport.com/teams/u14_17,az_boys_u14,2025-10-10T20:46:14.830215
18,RSL-AZ Yuma 2012 Boys Red,rsl-az yuma 2012 boys red,RSL-AZ Yuma,24604,https://rankings.gotsport.com/teams/u14_18,az_boys_u14,2025-10-10T20:46:14.830233
19,Mesa Soccer Club 2012 Boys White,mesa soccer club 2012 boys white,Mesa Soccer Club,9348,https://rankings.gotsport.com/teams/u14_19,az_boys_u14,2025-10-10T20:46:14.830250
20,RSL-AZ North 2012 Boys Blue,rsl-az north 2012 boys blue,RSL-AZ North,12412,https://rankings.gotsport.com/teams/u14_20,az_boys_u14,2025-10-10T20:46:14.830267
21,Peoria Soccer Club 2012 Boys White,peoria soccer club 2012 boys white,Peoria Soccer Club,2810,https://rankings.gotsport.com/teams/u14_21,az_boys_u14,2025-10-10T20:46:14.830284
