Rank,TeamName,TeamCanonical,Club,Points,TeamURL,Division,ScrapeDate
1,AZ Arsenal Soccer Club 2016 Boys Gold,az arsenal soccer club 2016 boys gold,AZ Arsenal Soccer Club,17023,https://rankings.gotsport.com/teams/u10_1,az_boys_u10,2025-10-10T20:38:08.679137
2,Scottsdale Soccer Club 2016 Boys Black,scottsdale soccer club 2016 boys black,Scottsdale Soccer Club,17418,https://rankings.gotsport.com/teams/u10_2,az_boys_u10,2025-10-10T20:38:08.679200
3,Valley United FC 2016 Boys Black,valley united fc 2016 boys black,Valley United FC,24371,https://rankings.gotsport.com/teams/u10_3,az_boys_u10,2025-10-10T20:38:08.679227
4,RSL-AZ Yuma 2016 Boys Gold,rsl-az yuma 2016 boys gold,RSL-AZ Yuma,20786,https://rankings.gotsport.com/teams/u10_4,az_boys_u10,2025-10-10T20:38:08.679246
5,Casa Grande Soccer Club 2016 Boys Black,casa grande soccer club 2016 boys black,Casa Grande Soccer Club,17205,https://rankings.gotsport.com/teams/u10_5,az_boys_u10,2025-10-10T20:38:08.679264
6,Desert SC 2016 Boys White,desert sc 2016 boys white,Desert SC,4070,https://rankings.gotsport.com/teams/u10_6,az_boys_u10,2025-10-10T20:38:08.679283
7,RSL-AZ West Valley 2016 Boys Black,rsl-az west valley 2016 boys black,RSL-AZ West Valley,18848,https://rankings.gotsport.com/teams/u10_7,az_boys_u10,2025-10-10T20:38:08.679300
8,Buckeye Soccer Club 2016 Boys Black,buckeye soccer club 2016 boys black,Buckeye Soccer Club,3394,https://rankings.gotsport.com/teams/u10_8,az_boys_u10,2025-10-10T20:38:08.679331
9,RSL-AZ North 2016 Boys White,rsl-az north 2016 boys white,RSL-AZ North,17498,https://rankings.gotsport.com/teams/u10_9,az_boys_u10,2025-10-10T20:38:08.679351
10,Avondale Soccer Club 2016 Boys Red,avondale soccer club 2016 boys red,Avondale Soccer Club,19972,https://rankings.gotsport.com/teams/u10_10,az_boys_u10,2025-10-10T20:38:08.679369
11,AZ Arsenal Soccer Club 2016 Boys Blue,az arsenal soccer club 2016 boys blue,AZ Arsenal Soccer Club,23974,https://rankings.gotsport.com/teams/u10_11,az_boys_u10,2025-10-10T20:38:08.679386
12,RSL-AZ North 2016 Boys Blue,rsl-az north 2016 boys blue,RSL-AZ North,5099,https://rankings.gotsport.com/teams/u10_12,az_boys_u10,2025-10-10T20:38:08.679403
13,AZ Soccer Club 2016 Boys Gold,az soccer club 2016 boys gold,AZ Soccer Club,9710,https://rankings.gotsport.com/teams/u10_13,az_boys_u10,2025-10-10T20:38:08.679420
