Team A,Team B,Score A,Score B,Date,Competition,SourceURL
elite arizona 2015 blue,paladin soccer club 2015 white,1,2,2025-08-28,Cactus Cup,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,arizona 2015 black,2,3,2024-10-21,Arizona U11 State League,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,az arsenal soccer club 2015 white,0,4,2024-11-11,Valley Championship,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,thunderbird 2015 white,1,1,2024-11-20,Arizona U11 State League,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,real arizona 2015 red,2,1,2024-12-12,AZ Cup,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,united latinos 2015 black,0,3,2025-04-02,Phoenix Premier League,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,arizona soccer club 2015 black,0,4,2025-06-17,AZ Cup,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,arizona soccer club 2015 black,1,4,2025-06-29,Valley Championship,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,dynamos 2015 blue,3,3,2025-04-25,Arizona U11 State League,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,scottsdale city 2015 white,1,2,2025-03-01,Desert Classic,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,rsl-az north 2015 white,2,0,2025-10-03,Desert Classic,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,sonora 2015 red,2,1,2025-10-02,Phoenix Premier League,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,paris saint-germain phoenix 2015 white,4,0,2024-11-01,Phoenix Premier League,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,union maricopa 2015 white,3,0,2025-06-16,Cactus Cup,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,rsl-az north 2015 red,4,0,2025-06-24,Phoenix Premier League,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,arizona 2015 red,0,4,2025-08-02,Valley Championship,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,arizona 2015 blue,2,3,2025-09-26,Phoenix Premier League,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,spartans (az) 2015 red,2,4,2025-04-03,Cactus Cup,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,paris saint-germain phoenix 2015 white,4,4,2025-01-10,Phoenix Premier League,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,arizona soccer club 2015 blue,2,1,2025-05-19,Cactus Cup,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 blue,ayso 350 alliance 2015 blue,1,0,2025-09-18,Arizona U11 State League,https://rankings.gotsport.com/teams/u11_1
elite arizona 2015 white,sun warriors azfc 2015 black,3,1,2025-07-27,Phoenix Premier League,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,union maricopa 2015 white,2,3,2025-02-08,Desert Classic,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,phoenix united futbol club 2015,2,1,2024-12-13,AZ Cup,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,la academia 2015 blue,4,4,2025-06-25,Phoenix Premier League,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,real arizona 2015 blue,1,3,2025-07-14,Phoenix Premier League,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,canyon del oro soccer club 2015 red,3,2,2025-02-22,Cactus Cup,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,la academia 2015 red,0,4,2025-03-01,Arizona U11 State League,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,canyon del oro soccer club 2015 red,1,0,2025-09-20,Valley Championship,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,union maricopa 2015 white,2,2,2024-11-14,Phoenix Premier League,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,real arizona 2015 red,2,0,2025-01-26,Valley Championship,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,fbsl 2015 red,3,2,2025-09-15,AZ Cup,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,union maricopa 2015 red,1,3,2025-07-28,Phoenix Premier League,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,thunderbird 2015 white,3,3,2025-08-04,AZ Cup,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,ccv stars 2015 blue,2,3,2025-06-20,Valley Championship,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,madison 2015 blue,0,2,2025-10-06,AZ Cup,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,canyon del oro soccer club 2015 blue,2,2,2025-03-13,Desert Classic,https://rankings.gotsport.com/teams/u11_2
elite arizona 2015 white,epic soccer club 2015 red,1,3,2025-10-09,Arizona U11 State League,https://rankings.gotsport.com/teams/u11_2
