Team A,Team B,Score A,Score B,Date,Competition,SourceURL
az arsenal soccer club 2016 gold,scottsdale soccer club 2016 blue,3,2,2025-03-19,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,rsl-az south 2016 gold,3,0,2025-02-01,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,mesa soccer club 2016 gold,3,0,2025-03-23,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,fountain hills soccer club 2016 blue,1,4,2025-04-03,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,casa grande soccer club 2016 black,2,0,2025-05-21,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,peoria soccer club 2016 white,2,2,2025-09-14,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,casa grande soccer club 2016 black,0,4,2025-03-31,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,buckeye soccer club 2016 gold,3,2,2025-06-24,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,rsl-az yuma 2016 red,4,1,2025-02-17,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,queen creek soccer club 2016 white,1,2,2025-06-19,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,cave creek soccer club 2016 white,3,1,2025-02-26,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,rsl-az north 2016 black,0,3,2025-01-28,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,scottsdale soccer club 2016 gold,4,0,2025-05-23,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,desert 2016 white,1,1,2024-12-22,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,queen creek soccer club 2016 blue,0,1,2025-01-10,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,rsl-az west valley 2016 black,0,1,2025-02-05,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,tucson youth soccer 2016 gold,4,3,2025-09-03,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,avondale soccer club 2016 white,1,4,2025-03-31,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,elite arizona 2016 blue,2,3,2025-03-14,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,gilbert soccer club 2016 white,0,4,2025-01-20,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,paradise valley soccer club 2016 blue,4,0,2025-09-30,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,valley united 2016 black,2,3,2025-04-14,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,az arsenal soccer club 2016 blue,4,0,2025-02-20,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,rsl-az yuma 2016 gold,2,3,2025-06-15,League Play,https://rankings.gotsport.com/teams/u10_1
az arsenal soccer club 2016 gold,phoenix premier 2016 gold,4,0,2025-09-21,League Play,https://rankings.gotsport.com/teams/u10_1
scottsdale soccer club 2016 black,az soccer club 2016 gold,1,1,2025-02-20,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,elite arizona 2016 black,1,1,2025-08-04,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,az arsenal soccer club 2016 blue,2,1,2025-04-07,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,az arsenal soccer club 2016 blue,4,3,2025-06-17,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,chandler soccer club 2016 gold,0,4,2025-05-20,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,queen creek soccer club 2016 blue,1,1,2025-03-15,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,cave creek soccer club 2016 white,0,2,2025-01-17,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,phoenix rising 2016 gold,0,1,2025-04-20,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,fountain hills soccer club 2016 white,1,2,2025-04-28,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,rsl-az west valley 2016 black,0,0,2025-08-19,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,goodyear soccer club 2016 black,2,3,2025-08-26,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,peoria soccer club 2016 gold,3,4,2025-07-20,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,queen creek soccer club 2016 blue,1,3,2025-01-25,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,maricopa soccer club 2016 white,2,1,2025-09-26,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,rsl-az yuma 2016 gold,3,4,2025-10-02,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,tucson youth soccer 2016 gold,4,0,2025-04-14,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,scottsdale soccer club 2016 gold,1,2,2025-08-31,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,fountain hills soccer club 2016 blue,2,1,2025-08-21,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,mesa soccer club 2016 blue,4,0,2025-04-08,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,queen creek soccer club 2016 blue,3,2,2025-02-21,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,chandler soccer club 2016 red,2,4,2025-05-31,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,chandler soccer club 2016 blue,1,4,2025-04-28,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,fountain hills soccer club 2016 white,0,0,2025-03-14,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,queen creek soccer club 2016 blue,2,0,2025-03-06,League Play,https://rankings.gotsport.com/teams/u10_2
scottsdale soccer club 2016 black,surprise soccer club 2016 blue,2,1,2025-01-04,League Play,https://rankings.gotsport.com/teams/u10_2
valley united 2016 black,queen creek soccer club 2016 gold,2,1,2025-02-08,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,glendale soccer club 2016 white,2,4,2025-05-28,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,scottsdale soccer club 2016 white,1,4,2025-04-05,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,chandler soccer club 2016 blue,3,3,2025-04-29,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,cave creek soccer club 2016 white,3,4,2025-03-05,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,fountain hills soccer club 2016 blue,3,0,2025-08-03,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,gilbert soccer club 2016 blue,2,4,2025-06-24,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,rsl-az west valley 2016 gold,2,1,2025-05-14,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,maricopa soccer club 2016 red,1,4,2025-02-09,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,peoria soccer club 2016 white,2,4,2025-04-06,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,phoenix rising 2016 red,2,0,2025-04-13,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,az arsenal soccer club 2016 gold,0,0,2025-02-01,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,casa grande soccer club 2016 black,1,4,2025-04-09,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,maricopa soccer club 2016 gold,2,0,2025-07-11,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,chandler soccer club 2016 red,2,0,2025-06-30,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,peoria soccer club 2016 black,2,1,2025-03-27,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,goodyear soccer club 2016 black,1,2,2025-05-17,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,maricopa soccer club 2016 gold,3,3,2025-03-14,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,phoenix premier 2016 red,3,4,2025-08-15,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,rsl-az north 2016 black,0,2,2025-03-07,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,buckeye soccer club 2016 blue,3,4,2025-05-06,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,avondale soccer club 2016 white,2,3,2025-07-01,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,apache junction soccer club 2016 red,0,4,2025-04-22,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,rsl-az north 2016 black,4,3,2025-08-25,League Play,https://rankings.gotsport.com/teams/u10_3
valley united 2016 black,elite arizona 2016 blue,4,4,2024-12-22,League Play,https://rankings.gotsport.com/teams/u10_3
rsl-az yuma 2016 gold,casa grande soccer club 2016 gold,4,1,2025-06-25,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,paradise valley soccer club 2016 gold,2,0,2025-07-30,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,fountain hills soccer club 2016 blue,4,3,2025-01-22,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,tempe soccer club 2016 white,0,1,2025-05-06,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,maricopa soccer club 2016 gold,1,1,2025-01-04,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,rsl-az north 2016 black,2,3,2025-03-06,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,goodyear soccer club 2016 black,0,2,2025-09-03,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,queen creek soccer club 2016 white,1,3,2025-07-16,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,buckeye soccer club 2016 black,2,3,2025-08-11,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,az soccer club 2016 gold,2,1,2025-07-24,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,maricopa soccer club 2016 gold,3,2,2025-09-05,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,glendale soccer club 2016 white,0,1,2025-04-08,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,glendale soccer club 2016 black,4,1,2025-08-29,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,buckeye soccer club 2016 black,1,3,2025-06-26,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,glendale soccer club 2016 blue,4,0,2025-05-28,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,peoria soccer club 2016 white,3,4,2025-04-03,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,az soccer club 2016 gold,0,0,2025-08-22,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,buckeye soccer club 2016 blue,3,4,2025-04-18,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,paradise valley soccer club 2016 gold,3,1,2025-02-04,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,fountain hills soccer club 2016 white,4,1,2025-01-20,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,chandler soccer club 2016 blue,3,2,2025-08-23,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,desert 2016 blue,0,1,2025-06-01,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,maricopa soccer club 2016 gold,0,4,2025-09-01,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,az arsenal soccer club 2016 gold,0,1,2025-03-08,League Play,https://rankings.gotsport.com/teams/u10_4
rsl-az yuma 2016 gold,surprise soccer club 2016 red,0,1,2025-03-16,League Play,https://rankings.gotsport.com/teams/u10_4
casa grande soccer club 2016 black,maricopa soccer club 2016 gold,1,1,2025-06-12,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,queen creek soccer club 2016 blue,2,3,2025-03-09,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,buckeye soccer club 2016 black,0,0,2025-06-09,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,desert 2016 white,1,1,2025-03-19,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,tucson youth soccer 2016 gold,2,2,2025-02-23,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,queen creek soccer club 2016 gold,3,3,2025-01-07,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,casa grande soccer club 2016 white,4,1,2025-04-17,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,maricopa soccer club 2016 gold,0,0,2025-03-30,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,apache junction soccer club 2016 red,0,0,2025-03-21,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,goodyear soccer club 2016 black,4,0,2025-01-10,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,az soccer club 2016 red,3,1,2025-06-22,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,buckeye soccer club 2016 blue,4,2,2025-03-16,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,chandler soccer club 2016 gold,1,4,2025-01-27,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,rsl-az yuma 2016 red,2,1,2025-02-23,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,valley united 2016 white,1,3,2025-02-06,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,avondale soccer club 2016 white,2,1,2025-08-13,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,queen creek soccer club 2016 gold,0,2,2025-05-11,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,scottsdale soccer club 2016 white,2,3,2025-02-09,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,tempe soccer club 2016 black,0,3,2025-01-08,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,desert 2016 white,0,1,2025-06-24,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,rsl-az west valley 2016 gold,4,4,2025-06-29,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,fountain hills soccer club 2016 blue,1,3,2025-07-02,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,az arsenal soccer club 2016 gold,0,2,2025-08-16,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,queen creek soccer club 2016 blue,1,3,2025-08-21,League Play,https://rankings.gotsport.com/teams/u10_5
casa grande soccer club 2016 black,az arsenal soccer club 2016 gold,2,1,2025-05-04,League Play,https://rankings.gotsport.com/teams/u10_5
desert 2016 white,cave creek soccer club 2016 white,4,1,2025-03-31,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,glendale soccer club 2016 black,0,2,2025-02-28,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,surprise soccer club 2016 red,2,0,2025-04-01,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,chandler soccer club 2016 gold,1,4,2024-12-22,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,tucson youth soccer 2016 gold,3,1,2025-01-11,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,tucson youth soccer 2016 gold,1,0,2025-06-10,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,peoria soccer club 2016 gold,3,0,2025-09-28,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,chandler soccer club 2016 blue,3,4,2025-04-14,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,tempe soccer club 2016 white,4,2,2025-04-19,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,cave creek soccer club 2016 white,2,4,2024-12-23,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,scottsdale soccer club 2016 gold,4,1,2025-01-03,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,az arsenal soccer club 2016 blue,3,2,2025-09-19,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,gilbert soccer club 2016 gold,3,2,2025-07-12,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,queen creek soccer club 2016 white,4,3,2025-01-10,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,paradise valley soccer club 2016 blue,1,2,2025-04-19,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,glendale soccer club 2016 black,0,4,2025-05-13,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,scottsdale soccer club 2016 gold,2,1,2025-08-07,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,scottsdale soccer club 2016 white,2,3,2025-08-26,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,az soccer club 2016 white,3,3,2025-02-21,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,rsl-az south 2016 gold,3,4,2025-07-24,League Play,https://rankings.gotsport.com/teams/u10_6
desert 2016 white,rsl-az north 2016 black,0,2,2025-07-18,League Play,https://rankings.gotsport.com/teams/u10_6
