Rank,Team,PowerScore_adj,PowerScore,GP_Mult,SAO_norm,SAD_norm,SOS_norm,SOS_iterative_norm,GamesPlayed,GamesTotal,Status,is_active,LastGame
1,fountain hills soccer club 2013 white,0.588,0.5883820233573098,1.0,0.6749832684078116,0.7669268483787379,0.5,0.5,30,0,Active,True,2025-09-23
2,fountain hills soccer club 2013 blue,0.585,0.5850308528223866,1.0,0.645597239460743,0.7795570246511904,0.5,0.5,30,0,Active,True,2025-10-07
3,peoria soccer club 2013 gold,0.572,0.5716845926287715,1.0,0.6862067511686947,0.6722162119751625,0.5,0.5,30,0,Active,True,2025-10-03
4,az soccer club 2013 white,0.559,0.5591446998687112,1.0,0.6887667489643782,0.6069567503791777,0.5,0.5,30,0,Active,True,2025-10-10
5,avondale soccer club 2013 red,0.549,0.5492386914464127,1.0,0.5951422354055479,0.6510512218265159,0.5,0.5,30,0,Active,True,2025-10-09
6,rsl-az west valley 2013 black,0.549,0.5493448714397426,1.0,0.543578947558145,0.7031454096405683,0.5,0.5,30,0,Active,True,2025-10-09
7,rsl-az south 2013 blue,0.547,0.5465478163762152,1.0,0.6225643315816651,0.6101747502994106,0.5,0.5,30,0,Active,True,2025-10-03
8,surprise soccer club 2013 red,0.546,0.5455776078427612,1.0,0.6801893343645957,0.5476987048492103,0.5,0.5,30,0,Active,True,2025-09-25
9,goodyear soccer club 2013 blue,0.541,0.541081841092331,1.0,0.630001029258254,0.5754081762034009,0.5,0.5,30,0,Active,True,2025-10-10
10,queen creek soccer club 2013 gold,0.541,0.5412143426972211,1.0,0.588425922047366,0.6176457914387395,0.5,0.5,30,0,Active,True,2025-10-03
11,goodyear soccer club 2013 red,0.541,0.5413713614475517,1.0,0.5406212253909064,0.6662355818468519,0.5,0.5,30,0,Active,True,2025-10-10
12,gilbert soccer club 2013 gold,0.537,0.5369576021282663,1.0,0.6853508833068528,0.49943712733447854,0.5,0.5,30,0,Active,True,2025-09-27
13,phoenix premier 2013 red,0.537,0.5367224070351599,1.0,0.44953199326173215,0.734080041914068,0.5,0.5,30,0,Active,True,2025-09-25
14,gilbert soccer club 2013 red,0.536,0.5358474513679379,1.0,0.6483187467303454,0.5309185101093439,0.5,0.5,30,0,Active,True,2025-10-07
15,apache junction soccer club 2013 blue,0.535,0.5345950798137222,1.0,0.6008709583123075,0.5721044407563037,0.5,0.5,30,0,Active,True,2025-09-28
16,peoria soccer club 2013 blue,0.534,0.5344337867226124,1.0,0.6749832684078116,0.4971856652052506,0.5,0.5,30,0,Active,True,2025-10-08
17,tucson youth soccer 2013 red,0.534,0.5338456845929511,1.0,0.49404258160800346,0.6751858413567524,0.5,0.5,30,0,Active,True,2025-10-04
18,gilbert soccer club 2013 blue,0.533,0.53342622194331,1.0,0.588425922047366,0.5787051876691841,0.5,0.5,30,0,Active,True,2025-10-10
19,rsl-az south 2013 red,0.53,0.5302790822566001,1.0,0.5903483495425867,0.561047061740414,0.5,0.5,30,0,Active,True,2025-10-08
20,glendale soccer club 2013 gold,0.518,0.5178752414962683,1.0,0.4643145753445963,0.6250616321367451,0.5,0.5,30,0,Active,True,2025-10-04
21,mesa soccer club 2013 red,0.517,0.5166517565722282,1.0,0.4870945163398507,0.5961642665212898,0.5,0.5,30,0,Active,True,2025-10-07
22,mesa soccer club 2013 gold,0.517,0.5168445388008522,1.0,0.44658529870609814,0.6376373952981627,0.5,0.5,30,0,Active,True,2025-10-02
23,mesa soccer club 2013 white,0.514,0.51434668233258,1.0,0.512905483660149,0.5588279280027512,0.5,0.5,30,0,Active,True,2025-09-27
24,apache junction soccer club 2013 white,0.511,0.5112526482618158,1.0,0.5119131455541123,0.5443500957549667,0.5,0.5,30,0,Active,True,2025-10-08
25,surprise soccer club 2013 gold,0.509,0.5087753430352456,1.0,0.47618722721590623,0.5676894879603218,0.5,0.5,30,0,Active,True,2025-10-09
26,cave creek soccer club 2013 gold,0.508,0.5080732487971569,1.0,0.5049645871130096,0.5354016568727751,0.5,0.5,30,0,Active,True,2025-10-01
27,chandler soccer club 2013 red,0.508,0.5076685893323519,1.0,0.4761872272159064,0.5621557194458532,0.5,0.5,30,0,Active,True,2025-09-29
28,tucson youth soccer 2013 black,0.506,0.5055633083715877,1.0,0.5396346712669773,0.4881818705909613,0.5,0.5,30,0,Active,True,2025-10-09
29,rsl-az west valley 2013 gold,0.505,0.5053149250258162,1.0,0.6281474737461862,0.39842715138289464,0.5,0.5,30,0,Active,True,2025-09-26
30,phoenix rising 2013 gold,0.505,0.504999390192342,1.0,0.46727947746274395,0.5577174734989656,0.5,0.5,30,0,Active,True,2025-10-08
31,phoenix premier 2013 white,0.504,0.5036878227307496,1.0,0.5661378185029584,0.45230129515078965,0.5,0.5,30,0,Active,True,2025-10-06
32,scottsdale soccer club 2013 white,0.504,0.5035717162898813,1.0,0.546533599698556,0.4713249817508504,0.5,0.5,30,0,Active,True,2025-10-05
33,cave creek soccer club 2013 blue,0.504,0.5043614420815237,1.0,0.5009929487492822,0.5208142616583361,0.5,0.5,30,0,Active,True,2025-10-02
