Team,ComponentID,ComponentSize,Degree
elite arizona 2012 gold,0,70,55
az arsenal soccer club 2012 white,0,70,34
desert 2012 blue,0,70,51
mesa soccer club 2012 white,0,70,38
scottsdale soccer club 2012 black,0,70,41
az soccer club 2012 gold,0,70,37
goodyear soccer club 2012 gold,0,70,37
chandler soccer club 2012 white,0,70,52
queen creek soccer club 2012 black,0,70,57
queen creek soccer club 2012 gold,0,70,39
casa grande soccer club 2012 blue,0,70,54
casa grande soccer club 2012 gold,0,70,54
tucson youth soccer 2012 blue,0,70,51
casa grande soccer club 2012 red,0,70,36
tempe soccer club 2012 white,0,70,40
avondale soccer club 2012 black,0,70,41
mesa soccer club 2012 red,0,70,35
paradise valley soccer club 2012 blue,0,70,42
rsl-az south 2012 blue,0,70,40
fountain hills soccer club 2012 blue,0,70,39
rsl-az west valley 2012 gold,0,70,39
phoenix premier 2012 red,0,70,63
rsl-az yuma 2012 gold,0,70,42
rsl-az west valley 2012 red,0,70,36
desert 2012 red,0,70,37
gilbert soccer club 2012 blue,0,70,36
apache junction soccer club 2012 gold,0,70,54
desert 2012 gold,0,70,58
queen creek soccer club 2012 white,0,70,56
goodyear soccer club 2012 blue,0,70,40
chandler soccer club 2012 gold,0,70,48
gilbert soccer club 2012 white,0,70,41
maricopa soccer club 2012 gold,0,70,36
surprise soccer club 2012 gold,0,70,39
tempe soccer club 2012 blue,0,70,68
cave creek soccer club 2012 gold,0,70,42
rsl-az north 2012 blue,0,70,36
rsl-az south 2012 white,0,70,36
phoenix premier 2012 gold,0,70,39
rsl-az yuma 2012 red,0,70,41
maricopa soccer club 2012 black,0,70,32
chandler soccer club 2012 red,0,70,54
tucson youth soccer 2012 white,0,70,39
paradise valley soccer club 2012 black,0,70,55
valley united 2012 red,0,70,38
phoenix rising 2012 black,0,70,38
tempe soccer club 2012 black,0,70,41
maricopa soccer club 2012 red,0,70,38
glendale soccer club 2012 blue,0,70,40
phoenix rising 2012 blue,0,70,54
desert 2012 black,0,70,37
az arsenal soccer club 2012 red,0,70,54
valley united 2012 black,0,70,39
rsl-az north 2012 red,0,70,57
glendale soccer club 2012 red,0,70,38
az arsenal soccer club 2012 blue,0,70,35
fountain hills soccer club 2012 white,0,70,34
mesa soccer club 2012 black,0,70,52
peoria soccer club 2012 gold,0,70,52
az soccer club 2012 red,0,70,53
buckeye soccer club 2012 blue,0,70,55
cave creek soccer club 2012 black,0,70,61
goodyear soccer club 2012 red,0,70,38
peoria soccer club 2012 white,0,70,39
tucson youth soccer 2012 red,0,70,44
rsl-az north 2012 white,0,70,37
fountain hills soccer club 2012 black,0,70,60
mesa soccer club 2012 gold,0,70,41
az soccer club 2012 blue,0,70,36
apache junction soccer club 2012 blue,0,70,55
