Team,ComponentID,ComponentSize,Degree
elite arizona 2016 black,0,83,35
tempe soccer club 2016 black,0,83,39
apache junction soccer club 2016 red,0,83,56
scottsdale soccer club 2016 white,0,83,39
glendale soccer club 2016 blue,0,83,36
casa grande soccer club 2016 black,0,83,53
fountain hills soccer club 2016 blue,0,83,56
az arsenal soccer club 2016 blue,0,83,54
gilbert soccer club 2016 red,0,83,33
rsl-az west valley 2016 gold,0,83,40
paradise valley soccer club 2016 white,0,83,33
az soccer club 2016 gold,0,83,34
gilbert soccer club 2016 black,0,83,33
queen creek soccer club 2016 white,0,83,36
gilbert soccer club 2016 blue,0,83,61
chandler soccer club 2016 blue,0,83,68
phoenix premier 2016 black,0,83,29
casa grande soccer club 2016 blue,0,83,30
buckeye soccer club 2016 black,0,83,55
rsl-az yuma 2016 red,0,83,40
casa grande soccer club 2016 gold,0,83,57
buckeye soccer club 2016 blue,0,83,51
casa grande soccer club 2016 red,0,83,35
buckeye soccer club 2016 gold,0,83,35
glendale soccer club 2016 black,0,83,53
avondale soccer club 2016 red,0,83,40
az soccer club 2016 red,0,83,54
rsl-az north 2016 blue,0,83,34
surprise soccer club 2016 red,0,83,37
goodyear soccer club 2016 black,0,83,39
rsl-az west valley 2016 black,0,83,36
desert 2016 white,0,83,50
phoenix premier 2016 gold,0,83,38
scottsdale soccer club 2016 black,0,83,34
goodyear soccer club 2016 gold,0,83,37
gilbert soccer club 2016 gold,0,83,35
mesa soccer club 2016 gold,0,83,38
az soccer club 2016 black,0,83,31
queen creek soccer club 2016 gold,0,83,53
rsl-az south 2016 gold,0,83,35
az soccer club 2016 white,0,83,35
peoria soccer club 2016 gold,0,83,52
scottsdale soccer club 2016 gold,0,83,33
cave creek soccer club 2016 black,0,83,37
elite arizona 2016 blue,0,83,28
maricopa soccer club 2016 gold,0,83,57
valley united 2016 white,0,83,37
paradise valley soccer club 2016 gold,0,83,41
rsl-az west valley 2016 red,0,83,55
cave creek soccer club 2016 white,0,83,59
queen creek soccer club 2016 blue,0,83,66
phoenix rising 2016 red,0,83,34
rsl-az west valley 2016 white,0,83,30
desert 2016 blue,0,83,39
surprise soccer club 2016 blue,0,83,37
phoenix premier 2016 red,0,83,28
rsl-az south 2016 blue,0,83,33
maricopa soccer club 2016 black,0,83,33
gilbert soccer club 2016 white,0,83,30
casa grande soccer club 2016 white,0,83,34
fountain hills soccer club 2016 red,0,83,34
glendale soccer club 2016 white,0,83,34
az arsenal soccer club 2016 gold,0,83,66
rsl-az yuma 2016 gold,0,83,73
phoenix rising 2016 gold,0,83,44
fountain hills soccer club 2016 white,0,83,54
rsl-az north 2016 black,0,83,49
tucson youth soccer 2016 red,0,83,52
chandler soccer club 2016 red,0,83,37
chandler soccer club 2016 gold,0,83,51
peoria soccer club 2016 white,0,83,35
tucson youth soccer 2016 gold,0,83,74
rsl-az north 2016 white,0,83,58
tucson youth soccer 2016 white,0,83,32
scottsdale soccer club 2016 blue,0,83,27
maricopa soccer club 2016 red,0,83,33
peoria soccer club 2016 black,0,83,55
mesa soccer club 2016 blue,0,83,54
paradise valley soccer club 2016 blue,0,83,52
valley united 2016 black,0,83,34
tempe soccer club 2016 white,0,83,38
avondale soccer club 2016 white,0,83,37
maricopa soccer club 2016 white,0,83,37
