Team,ComponentID,ComponentSize,Degree
rsl-az south 2013 red,0,78,33
maricopa soccer club 2013 red,0,78,33
peoria soccer club 2013 white,0,78,35
paradise valley soccer club 2013 blue,0,78,54
mesa soccer club 2013 white,0,78,44
phoenix rising 2013 gold,0,78,57
rsl-az west valley 2013 blue,0,78,53
goodyear soccer club 2013 white,0,78,36
mesa soccer club 2013 red,0,78,35
phoenix premier 2013 red,0,78,37
buckeye soccer club 2013 blue,0,78,41
gilbert soccer club 2013 red,0,78,33
chandler soccer club 2013 gold,0,78,50
gilbert soccer club 2013 white,0,78,39
az soccer club 2013 gold,0,78,37
az soccer club 2013 black,0,78,42
rsl-az west valley 2013 white,0,78,56
rsl-az south 2013 blue,0,78,44
buckeye soccer club 2013 white,0,78,35
goodyear soccer club 2013 black,0,78,39
rsl-az north 2013 red,0,78,58
az arsenal soccer club 2013 red,0,78,56
surprise soccer club 2013 red,0,78,37
fountain hills soccer club 2013 blue,0,78,39
rsl-az west valley 2013 gold,0,78,37
glendale soccer club 2013 gold,0,78,55
mesa soccer club 2013 gold,0,78,33
avondale soccer club 2013 red,0,78,39
tucson youth soccer 2013 black,0,78,40
surprise soccer club 2013 gold,0,78,58
phoenix rising 2013 blue,0,78,34
tempe soccer club 2013 white,0,78,42
queen creek soccer club 2013 black,0,78,60
apache junction soccer club 2013 white,0,78,57
phoenix premier 2013 white,0,78,54
chandler soccer club 2013 red,0,78,38
scottsdale soccer club 2013 blue,0,78,68
goodyear soccer club 2013 red,0,78,56
gilbert soccer club 2013 gold,0,78,35
casa grande soccer club 2013 gold,0,78,37
apache junction soccer club 2013 blue,0,78,40
avondale soccer club 2013 blue,0,78,35
glendale soccer club 2013 blue,0,78,41
phoenix rising 2013 black,0,78,35
cave creek soccer club 2013 blue,0,78,36
queen creek soccer club 2013 gold,0,78,38
queen creek soccer club 2013 red,0,78,33
az soccer club 2013 white,0,78,38
buckeye soccer club 2013 gold,0,78,59
mesa soccer club 2013 black,0,78,54
paradise valley soccer club 2013 gold,0,78,73
gilbert soccer club 2013 blue,0,78,51
scottsdale soccer club 2013 white,0,78,42
scottsdale soccer club 2013 red,0,78,41
az arsenal soccer club 2013 black,0,78,60
elite arizona 2013 blue,0,78,65
az arsenal soccer club 2013 gold,0,78,44
cave creek soccer club 2013 gold,0,78,35
rsl-az yuma 2013 gold,0,78,40
gilbert soccer club 2013 black,0,78,44
tucson youth soccer 2013 red,0,78,38
goodyear soccer club 2013 blue,0,78,57
az arsenal soccer club 2013 white,0,78,54
elite arizona 2013 red,0,78,55
az soccer club 2013 blue,0,78,41
desert 2013 white,0,78,44
tucson youth soccer 2013 blue,0,78,45
cave creek soccer club 2013 white,0,78,60
tucson youth soccer 2013 white,0,78,70
peoria soccer club 2013 gold,0,78,43
rsl-az west valley 2013 black,0,78,50
chandler soccer club 2013 white,0,78,41
fountain hills soccer club 2013 white,0,78,43
avondale soccer club 2013 gold,0,78,36
apache junction soccer club 2013 black,0,78,47
peoria soccer club 2013 blue,0,78,36
casa grande soccer club 2013 white,0,78,41
casa grande soccer club 2013 blue,0,78,57
