Team Name,Club,Team ID,Wins,Losses,Ties,Games Played,State,Win Percentage,State Rank,Goal Ratio,Team URL,Gender,Age Group
az arsenal soccer club 2016 boys gold,AZ Arsenal Soccer Club,u10_1,64,58,26,148,AZ,0.43243243243243246,1,1.0348432055749128,https://rankings.gotsport.com/teams/u10_1,M,U10
scottsdale soccer club 2016 boys black,Scottsdale Soccer Club,u10_2,18,22,7,47,AZ,0.3829787234042553,2,0.90625,https://rankings.gotsport.com/teams/u10_2,M,U10
valley united fc 2016 boys black,Valley United FC,u10_3,21,16,9,46,AZ,0.45652173913043476,3,1.0,https://rankings.gotsport.com/teams/u10_3,M,U10
rsl-az yuma 2016 boys gold,RSL-AZ Yuma,u10_4,75,68,45,188,AZ,0.39893617021276595,4,1.0672043010752688,https://rankings.gotsport.com/teams/u10_4,M,U10
casa grande soccer club 2016 boys black,Casa Grande Soccer Club,u10_5,41,44,25,110,AZ,0.37272727272727274,5,1.0206185567010309,https://rankings.gotsport.com/teams/u10_5,M,U10
desert sc 2016 boys white,Desert SC,u10_6,40,36,15,91,AZ,0.43956043956043955,6,0.9705882352941176,https://rankings.gotsport.com/teams/u10_6,M,U10
rsl-az west valley 2016 boys black,RSL-AZ West Valley,u10_7,25,16,8,49,AZ,0.5102040816326531,7,1.0736842105263158,https://rankings.gotsport.com/teams/u10_7,M,U10
buckeye soccer club 2016 boys black,Buckeye Soccer Club,u10_8,36,48,14,98,AZ,0.3673469387755102,8,0.8533333333333334,https://rankings.gotsport.com/teams/u10_8,M,U10
rsl-az north 2016 boys white,RSL-AZ North,u10_9,41,37,19,97,AZ,0.422680412371134,9,0.9735449735449735,https://rankings.gotsport.com/teams/u10_9,M,U10
avondale soccer club 2016 boys red,Avondale Soccer Club,u10_10,22,18,13,53,AZ,0.41509433962264153,10,1.101010101010101,https://rankings.gotsport.com/teams/u10_10,M,U10
az arsenal soccer club 2016 boys blue,AZ Arsenal Soccer Club,u10_11,42,46,18,106,AZ,0.39622641509433965,11,0.9385964912280702,https://rankings.gotsport.com/teams/u10_11,M,U10
rsl-az north 2016 boys blue,RSL-AZ North,u10_12,24,18,9,51,AZ,0.47058823529411764,12,1.305263157894737,https://rankings.gotsport.com/teams/u10_12,M,U10
az soccer club 2016 boys gold,AZ Soccer Club,u10_13,15,21,12,48,AZ,0.3125,13,0.8557692307692307,https://rankings.gotsport.com/teams/u10_13,M,U10
surprise soccer club 2016 boys red,Surprise Soccer Club,u10_14,21,20,13,54,AZ,0.3888888888888889,14,1.0740740740740742,https://rankings.gotsport.com/teams/u10_14,M,U10
fc elite arizona 2016 boys black,FC Elite Arizona,u10_15,22,23,8,53,AZ,0.41509433962264153,15,0.9826086956521739,https://rankings.gotsport.com/teams/u10_15,M,U10
