Team,Goals For,Opponent,Goals Against,Date
14 Boys Navy,2,2014 Boys Yellow,6,2025-09-20
14 Boys Navy,1,Playmaker Futbol Academy 14B Black,3,2025-05-25
14 Boys Navy,1,Synergy FC 14 B,0,2025-04-27
14 Boys Navy,1,Milan,2,2025-04-26
14 Boys Navy,0,Madison FC 14 Gold Boys,4,2025-04-26
14 Boys Navy,0,14B Negrete Pre MLS Next,6,2025-04-13
14 Boys Navy,0,PRFC Scottsdale 14B Pre-Academy,4,2025-04-12
14 Boys Navy,1,PRFC Southeast Valley 14B Predator-Central,6,2025-04-05
14 Boys Navy,2,AZ Arsenal 14 Boys Teal SC,4,2025-04-05
14 Boys Navy,2,AZ Arsenal 14 Boys Teal SC,4,2025-04-05
14 Boys Navy,1,Brazas 2014 Boys Black Marcos,10,2025-04-05
14 Boys Navy,1,14 Boys Navy,5,2025-03-23
14 Boys Navy,5,CCV Stars 14 Boys South Orange,1,2025-03-23
14 Boys Navy,5,14 Boys Navy,1,2025-03-23
14 Boys Navy,0,Real Arizona 2014,8,2025-03-22
14 Boys Navy,1,State 48 FC Avondale 14 Black,3,2025-03-22
14 Boys Navy,0,PRFC Southeast Valley 14B Predator-Central,0,2025-03-22
14 Boys Navy,1,2014 Boys Blue,4,2025-03-21
14 Boys Navy,0,2014 Boys Yellow,0,2025-03-16
14 Boys Navy,2,14B Engilman,4,2025-03-15
14 Boys Navy,3,Tuzos Academy Mesa 2014,2,2025-03-15
14 Boys Navy,2,CCV Stars 14 Boys West Pre-ECNL,9,2025-03-15
14 Boys Navy,0,AZ Arsenal 14 Boys Teal MC,6,2025-03-08
14 Boys Navy,7,14B Rueda,0,2025-03-08
14 Boys Navy,2,U-12 (2014) Boys Pre Academy Blue,0,2025-03-02
14 Boys Navy,1,Monsters 2014,4,2025-03-01
14 Boys Navy,0,PRFC Scottsdale 14B Pre-Academy,7,2025-03-01
14 Boys Navy,2,West Valley 2014 Boys Martinez Pre-Elite64,0,2025-03-01
14 Boys Navy,3,CCV Stars 14 Boys East Pre-ECNL,11,2025-03-01
14 Boys Navy,4,Phoenix Premier FC 14B White,1,2025-02-22
14 Boys Navy,2,PRFC Scottsdale 14B Pre-Academy,4,2025-02-21
14 Boys Navy,3,2014 Boys Yellow,2,2025-02-15
14 Boys Navy,4,14B Midhaan,1,2025-02-15
14 Boys Navy,0,Phoenix United 2014 Academy,4,2025-02-15
14 Boys Navy,1,AZ Arsenal 14 Boys Select,3,2025-02-08
14 Boys Navy,0,Scottsdale 14 Sandsharks Black,0,2025-02-08
14 Boys Navy,1,PRFC West Valley 14B Predator,2,2025-02-01
14 Boys Navy,2,Legends FC AZ 14B Black,1,2025-02-01
14 Boys Navy,5,ASA 014B Magic,0,2025-02-01
14 Boys Navy,0,Scottsdale 14 Sandsharks Select,1,2025-01-25
14 Boys Navy,5,Hustle Hard 2014- Boys,1,2025-01-25
14 Boys Navy,1,Select 14B Red,1,2025-01-18
14 Boys Navy,6,FSC United 14 Boys,4,2025-01-18
14 Boys Navy,2,AZ Arsenal 14 Boys Teal CB,2,2025-01-12
14 Boys Navy,0,Amore 2014 Boys,6,2025-01-12
14 Boys Navy,2,14B Hermanson AL,0,2025-01-12
14 Boys Navy,0,AZEV B2014 (NAVY),4,2025-01-12
14 Boys Navy,2,2014 Boys Blue,3,2025-01-11
14 Boys Navy,0,Legends FC AZ 14B Black,4,2025-01-11
14 Boys Navy,1,West Valley 2014 Boys Martinez Pre-Elite64,4,2025-01-11
14 Boys Navy,5,PRFC North Valley 14B Predator,1,2025-01-10
14 Boys Navy,2,Phoenix United 2014 Premier,1,2024-12-14
14 Boys Navy,0,Amore 2014 Boys,4,2024-12-08
14 Boys Navy,0,Tuzos Halcones 2014,1,2024-12-08
14 Boys Navy,0,FC Elite Arizona 2014 Boys (ARCHIVED),8,2024-12-08
14 Boys Navy,3,2014 Boys Yellow,2,2024-12-08
14 Boys Navy,5,FC Deportivo AZ 2014B (Gallegos),5,2024-12-07
14 Boys Navy,3,2014 Boys Blue,4,2024-12-07
14 Boys Navy,5,PRFC North Valley 14B Copa,2,2024-12-07
14 Boys Navy,2,PRFC West Valley 14B Predator,4,2024-12-06
14 Boys Navy,0,CCV Stars 14 Boys North Navy,2,2024-12-06
14 Boys Navy,2,PSG 14B Blue,8,2024-11-24
14 Boys Navy,0,Phoenix United 2014 Premier,2,2024-11-23
14 Boys Navy,1,West Valley 2014 Boys Martinez Pre-Elite64,7,2024-11-23
14 Boys Navy,2,Phoenix United 2014 Academy,1,2024-11-23
14 Boys Navy,2,U-12 (2014) Boys Pre Academy Blue,3,2024-11-23
14 Boys Navy,0,AZSC 2014B Pre-NL Premier 2,4,2024-11-16
14 Boys Navy,2,PRFC Scottsdale 14B Pre-Academy,3,2024-11-16
14 Boys Navy,2,Select 14B Red,0,2024-11-10
14 Boys Navy,2,Select 14B Red,0,2024-11-10
14 Boys Navy,0,Phoenix United 2014 Academy,3,2024-11-10
14 Boys Navy,2,PRFC Southeast Valley 14B Predator-Central,1,2024-11-10
14 Boys Navy,3,CAC 14/15B (Conroy),1,2024-11-09
14 Boys Navy,5,14B Midhaan,1,2024-11-09
14 Boys Navy,2,Select 14B Red,2,2024-11-09
14 Boys Navy,3,AZSC 2014B Pre-NL Premier 2,2,2024-11-09
14 Boys Navy,2,Madison FC 14 Gold Boys,4,2024-11-09
14 Boys Navy,4,Synergy FC 14 B,1,2024-11-02
14 Boys Navy,2,Phoenix Valley Soccer Club boys 2014,8,2024-11-02
14 Boys Navy,2,Playmaker Futbol Academy 14B Gold,6,2024-10-27
14 Boys Navy,3,Tuzos Titanes 2014,3,2024-10-26
14 Boys Navy,1,PRFC Scottsdale 14B Predator,5,2024-10-26
14 Boys Navy,2,14B Midhaan,6,2024-10-25
14 Boys Navy,2,Select 14B,5,2024-10-19
14 Boys Navy,0,Madison FC 14 Gold Boys,4,2024-10-19
14 Boys Navy,3,AZ Arsenal 14 Boys Teal SC,1,2024-10-13
14 Boys Navy,5,VSC 2014 Boys Green,3,2024-10-13
14 Boys Navy,9,AZ Arsenal 14 Boys Select,1,2024-10-12
14 Boys Navy,4,Tuzos Titanes 2014,0,2024-10-12
14 Boys Navy,4,PRFC Southeast Valley 14B Predator-Central,0,2024-10-05
14 Boys Navy,7,East Valley NSFC 14 Boys Tiggs,0,2024-09-28
14 Boys Navy,3,AZ Inferno 14 Boys Black,3,2024-09-28
14 Boys Navy,3,2014 Boys Blue,1,2024-09-21
14 Boys Navy,1,East Valley NSFC 14 Boys Aguirre,4,2024-09-21
14 Boys Navy,2,AZ Arsenal 14 Boys Teal CB,4,2024-09-20
14 Boys Navy,0,14B Hermanson AL,3,2024-09-15
14 Boys Navy,2,2014 Boys Yellow,1,2024-09-14
14 Boys Navy,0,CAC 14/15B (Conroy),1,2024-09-14
14 Boys Navy,3,Phoenix United 2014 Academy,1,2024-09-14
14 Boys Navy,4,Hustle Hard 2014- Boys,1,2024-09-13
14 Boys Navy,0,Madison FC 14 Gold Boys,0,2024-09-07
14 Boys Navy,4,PRFC Southeast Valley 14B Predator,5,2024-09-07
14 Boys Navy,8,FSC United 14 Boys,1,2024-05-25
14 Boys Navy,2,14B Moyer,5,2024-04-28
14 Cityzens,5,PRFC Desert Foothills 14B Predator,1,2025-10-04
14 Cityzens,5,14B Laroussi,2,2025-09-27
14 Cityzens,2,State 48 FC Avondale 14 White,1,2025-09-14
14 Cityzens,2,PSC 2014B,0,2025-09-13
14 Cityzens,2,PRFC Southeast Valley 14B Predator,5,2025-09-13
14 Cityzens,1,Excel Soccer Academy 14B Black,6,2025-09-07
14 Cityzens,1,Playmaker Futbol Academy 14B Black,6,2025-09-06
14 Cityzens,2,Madison FC 14 Blue Boys,7,2025-09-06
14 Cityzens,0,Madison FC 14 White Boys,3,2025-08-31
14 Cityzens,0,PRFC Scottsdale 14B Copa,5,2025-08-30
14 Cityzens,3,AZ Inferno 14 Boys Blue,1,2025-08-30
14 Cityzens,0,Scottsdale 14 Sandsharks Select,6,2025-04-19
14 Cityzens,0,Scottsdale 14 Sandsharks Select,6,2025-04-19
14 Cityzens,1,AZSC 2014B Pre-NL Premier 2,2,2025-04-17
14 Cityzens,0,Southeast 2014 Boys Green,0,2025-04-15
14 Cityzens,0,Southeast 2014 Boys Green,0,2025-04-15
14 Cityzens,3,AZ Arsenal 14 Boys Select,0,2025-04-04
14 Cityzens,0,Scottsdale 14 Sandsharks Select,0,2025-03-30
14 Cityzens,0,Scottsdale 14 Sandsharks Select,2,2025-03-30
14 Cityzens,4,Playmaker Futbol Academy 14B Gold,0,2025-03-29
14 Cityzens,6,Real Arizona 2014,1,2025-03-29
14 Cityzens,1,2014 Boys Blue,2,2025-03-16
14 Cityzens,3,PRFC North Valley 14B Copa,4,2025-03-15
14 Cityzens,0,Real Arizona 2014,4,2025-03-15
14 Cityzens,2,State 48 FC Avondale 14 White,3,2025-03-08
14 Cityzens,2,State 48 FC Avondale 14 Black,3,2025-03-08
14 Cityzens,2,State 48 FC Avondale 14 Black,3,2025-02-23
14 Cityzens,2,State 48 FC Avondale 14 White,3,2025-02-23
14 Cityzens,2,Select 14B Red,1,2025-02-22
14 Cityzens,2,Select 14B Red,1,2025-02-22
14 Cityzens,1,PSG 14B Blue,1,2025-02-22
14 Cityzens,1,CCV Stars 14 Boys West Orange,2,2025-02-15
14 Cityzens,0,AZ Arsenal 14 Boys Teal SC,2,2025-02-08
14 Cityzens,0,AZ Arsenal 14 Boys Teal SC,2,2025-02-08
14 Cityzens,3,CCV Stars 14 Boys West Orange,1,2025-02-07
14 Cityzens,0,Madison FC 14 Blue Boys,3,2025-01-25
14 Cityzens,1,PRFC Southeast Valley 14B Predator,1,2025-01-11
14 Cityzens,8,Madison FC 14 Blue Boys,3,2025-01-11
14 Cityzens,8,14B Felix Nogales,3,2024-12-15
14 Cityzens,6,PRFC Desert Foothills 14B Predator,2,2024-12-14
14 Cityzens,4,Legends FC AZ 14B Black,3,2024-12-01
14 Cityzens,5,Tuzos Royals 14 Pre-Academy,3,2024-11-30
14 Cityzens,2,Madison FC 14 Blue Boys,3,2024-11-10
14 Cityzens,2,PRFC North Valley 14B Copa,3,2024-11-09
14 Cityzens,6,Amore 2014 Boys,2,2024-11-09
14 Cityzens,2,Playmaker Futbol Academy 14B Gold,3,2024-11-08
14 Cityzens,0,PRFC West Valley 14B Pre-Academy,3,2024-11-02
14 Cityzens,4,Phoenix United 2014 Academy,5,2024-10-20
14 Cityzens,2,Southeast 2014 Boys Green,1,2024-10-20
14 Cityzens,2,Southeast 2014 Boys Green,1,2024-10-20
14 Cityzens,1,Southeast 2014 Boys Green,2,2024-10-19
14 Cityzens,1,Southeast 2014 Boys Green,2,2024-10-19
14 Cityzens,5,Phoenix United 2014 Premier,1,2024-10-18
14 Cityzens,5,Phoenix United 2014 Premier,1,2024-10-18
14 Cityzens,0,Scottsdale 14 Sandsharks Select,11,2024-10-12
14 Cityzens,0,Scottsdale 14 Sandsharks Select,11,2024-10-12
14 Cityzens,8,La Academia 14B,3,2024-10-05
14 Cityzens,0,Phoenix Premier FC 14B SW Black,3,2024-09-28
14 Cityzens,0,Phoenix Premier FC 14B SW Black,3,2024-09-28
14 Cityzens,1,AZEV B2014 (NAVY),3,2024-09-27
14 Cityzens,7,14B Rueda,4,2024-09-21
14 Cityzens,1,14B Rueda,4,2024-09-15
14 Cityzens,0,West Valley 2014 Boys Martinez Pre-Elite64,4,2024-09-14
14 Cityzens,2,PRFC Scottsdale 14B Predator,5,2024-09-07
14 Pre-MLSN #1,3,Tuzos Royals 2014,0,2025-10-04
14 Pre-MLSN #1,3,14 Pre-MLSN #2,2,2025-09-21
14 Pre-MLSN #1,1,Southeast 2014 Boys Black,3,2025-08-31
14 Pre-MLSN #1,3,Dynamos SC 14B SC,3,2025-08-30
14 Pre-MLSN #1,2,Tuzos Royals 2014,2,2025-08-30
14 Pre-MLSN #1,5,State 48 FC Avondale 14 White,0,2025-05-25
14 Pre-MLSN #1,5,FC Deportivo AZ 2014B (Gallegos),3,2025-05-24
14 Pre-MLSN #1,1,Legends FC AZ 14B Black,5,2025-04-26
14 Pre-MLSN #1,1,Excel Soccer Academy 14B Red,2,2025-04-13
14 Pre-MLSN #1,9,CDO 14B Premier,0,2025-04-05
14 Pre-MLSN #1,12,14B Hinds,0,2025-03-22
14 Pre-MLSN #1,9,Eagles F.C.,2,2025-03-22
14 Pre-MLSN #1,1,Legends FC AZ 14B Black,4,2025-03-02
14 Pre-MLSN #1,3,Playmaker Futbol Academy 14B Black,0,2025-02-02
14 Pre-MLSN #1,1,AZ Arsenal Pre-ECNL B14,7,2024-12-08
14 Pre-MLSN #1,3,Southeast 2014 Boys Red,2,2024-11-24
14 Pre-MLSN #1,2,PRFC North Valley 14B PreAcademy,1,2024-11-23
14 Pre-MLSN #1,3,Excel Soccer Academy 14B Red,4,2024-10-26
14 Pre-MLSN #1,2,PRFC North Valley 14B PreAcademy,4,2024-10-20
14 Pre-MLSN #1,3,Legends FC AZ 14B Black,2,2024-10-12
14 Pre-MLSN #1,2,14B Velasco,1,2024-09-28
14 Pre-MLSN #1,8,CDO 14B Premier,0,2024-09-20
14 Pre-MLSN #1,6,Southeast 2014 Boys Red,1,2024-09-01
14 Pre-MLSN #1,2,Playmaker Futbol Academy 14B Black,5,2024-08-31
14 Pre-MLSN #2,5,14B Rayados Blue AL,1,2025-10-04
14 Pre-MLSN #2,5,14B Rayados Blue AL,1,2025-10-04
14 Pre-MLSN #2,2,PRFC Desert Foothills 14B Pre-Academy,1,2025-09-28
14 Pre-MLSN #2,2,14 Pre-MLSN #1,3,2025-09-21
14 Pre-MLSN #2,2,Playmaker Futbol Academy PRE-ECNL B14,4,2025-08-30
14 Pre-MLSN #2,0,Phoenix Premier FC 14B Pre MLS Next AD,2,2025-08-30
14 Pre-MLSN #2,0,Phoenix Premier FC 14B Pre MLS Next AD,2,2025-08-30
14 Pre-MLSN #2,8,Milan,0,2025-05-25
14 Pre-MLSN #2,9,Phoenix United 2014 Premier,0,2025-05-25
14 Pre-MLSN #2,16,FSC United 14 Boys,0,2025-05-24
14 Pre-MLSN #2,5,Eagles F.C.,0,2025-05-24
14 Pre-MLSN #2,1,AZSC 14B Perez,4,2025-04-27
14 Pre-MLSN #2,3,14B GSA,5,2025-04-26
14 Pre-MLSN #2,3,CDO 14B Premier,2,2025-04-06
14 Pre-MLSN #2,5,Deportivo Mexico 14B,1,2025-04-05
14 Pre-MLSN #2,6,Eagles F.C.,0,2025-03-15
14 Pre-MLSN #2,4,CDO 14B Premier,3,2025-02-15
14 Pre-MLSN #2,2,PRFC Southeast Valley 14B Predator-Central,0,2025-01-19
14 Pre-MLSN #2,2,PRFC North Valley 14B PreAcademy,3,2024-12-08
14 Pre-MLSN #2,3,Excel Soccer Academy 14B Red,3,2024-12-07
14 Pre-MLSN #2,3,AZSC 14B Perez,5,2024-11-24
14 Pre-MLSN #2,4,Northwest 2014 Boys,0,2024-11-23
14 Pre-MLSN #2,0,Legends FC AZ 14B Black,6,2024-11-09
14 Pre-MLSN #2,2,AZ Arsenal Pre-ECNL B14,7,2024-10-20
14 Pre-MLSN #2,1,14B Velasco,5,2024-10-05
14 Pre-MLSN #2,3,Playmaker Futbol Academy 14B Black,0,2024-09-28
14 Pre-MLSN #2,7,Playmaker Futbol Academy 14B Gold,0,2024-09-01
14 Pre-MLSN #2,1,Tuzos Academy Mesa 2014,1,2024-08-31
14 Pre-MLSN #2,7,PRFC West Valley 14B Pre-Academy,0,2024-08-31
14B Antunez Pre-MLS Next,3,Excel Soccer Academy 14B Red,5,2025-10-05
14B Antunez Pre-MLS Next,0,CCV Stars 14 Boys North Pre-ECNL,3,2025-10-03
14B Antunez Pre-MLS Next,2,Dynamos SC 14B SC,6,2025-09-28
14B Antunez Pre-MLS Next,1,Southeast 2014 Boys Blue,1,2025-09-21
14B Antunez Pre-MLS Next,1,Southeast 2014 Boys Blue,3,2025-09-14
14B Antunez Pre-MLS Next,0,Southeast 2014 Boys Black,7,2025-09-13
14B Antunez Pre-MLS Next,0,AZ Arsenal Pre-ECNL B14,1,2025-04-27
14B Antunez Pre-MLS Next,2,Brazas 2014 Boys Black Marcos,3,2025-04-26
14B Antunez Pre-MLS Next,0,Legends FC AZ 14B Black,4,2025-03-22
14B Antunez Pre-MLS Next,3,PRFC North Valley 14B PreAcademy,0,2025-03-22
14B Antunez Pre-MLS Next,1,Madison FC 14 Gold Boys,1,2025-03-08
14B Antunez Pre-MLS Next,1,14B GSA,2,2025-03-08
14B Antunez Pre-MLS Next,3,Playmaker Futbol Academy 14B Black,0,2025-03-02
14B Antunez Pre-MLS Next,1,Excel Soccer Academy 14B Red,2,2025-03-01
14B Antunez Pre-MLS Next,2,14B GSA,7,2025-02-22
14B Antunez Pre-MLS Next,5,14B GSA,3,2025-01-04
14B Antunez Pre-MLS Next,0,PRFC North Valley 14B PreAcademy,3,2024-11-24
14B Antunez Pre-MLS Next,6,Southeast 2014 Boys Red,2,2024-11-22
14B Antunez Pre-MLS Next,0,14B Velasco,4,2024-10-26
14B Antunez Pre-MLS Next,1,AZ Arsenal Pre-ECNL B14,5,2024-10-04
14B Antunez Pre-MLS Next,1,Legends FC AZ 14B Black,5,2024-09-22
14B Antunez Pre-MLS Next,2,PRFC North Valley 14B PreAcademy,0,2024-09-21
14B Antunez Pre-MLS Next,0,14B Velasco,5,2024-09-14
14B Antunez Pre-MLS Next,5,PRFC North Valley 14B Predator,1,2024-04-28
14B Antunez Pre-MLS Next,4,PRFC Scottsdale 14B Pre-Academy,2,2024-04-27
14B Antunez Pre-MLS Next,7,PRFC Southeast Valley 14B Predator,1,2024-04-21
14B Blue #1,1,Eagles F.C.,1,2025-09-21
14B Blue #1,0,AZ Arsenal 14 Boys Teal SC,3,2025-09-20
14B Blue #1,1,14B Hinds,2,2025-09-19
14B Blue #1,5,FC Sonora 14' B Dynamo,1,2025-04-06
14B Blue #1,0,14B Hermanson AL,1,2025-04-05
14B Blue #1,1,CDO 14B Elite,4,2025-04-03
14B Blue #1,2,Eagles F.C.,3,2025-03-15
14B Blue #1,2,14B Hinds,6,2025-03-15
14B Blue #1,2,Eagles F.C.,3,2025-03-08
14B Blue #1,2,Deportivo Mexico 14B,0,2025-02-08
14B Blue #1,4,VSC 2014 Boys Green,3,2024-11-16
14B Blue #1,5,FC Sonora 14' B Dynamo,0,2024-11-02
14B Blue #1,0,14B NL #2,3,2024-10-26
14B Blue #1,0,Eagles F.C.,2,2024-10-20
14B Blue #1,2,14B Geoff,0,2024-10-19
14B Blue #1,0,CAC 14/15B (Conroy),3,2024-10-19
14B Blue #1,1,Deportivo Mexico 14B,5,2024-09-28
14B Blue #1,5,VSC 2014 Boys White,1,2024-09-22
14B Blue #1,1,14B Hinds,0,2024-09-22
14B Blue #1,0,14B Hinds,2,2024-09-21
14B Engilman,1,14B Velasco,6,2025-09-20
14B Engilman,1,14B Moyer,4,2025-09-14
14B Engilman,2,Tuzos Royals 14 Pre-Academy,3,2025-09-13
14B Engilman,6,NOS Santos 14 Boys White,0,2025-09-12
14B Engilman,0,Scottsdale 14 Sandsharks Select,2,2025-09-06
14B Engilman,2,Phoenix Premier FC 14B Black,5,2025-04-27
14B Engilman,5,Dynamos SC 14B Gold,0,2025-04-26
14B Engilman,5,PRFC Scottsdale 14B Predator,2,2025-04-23
14B Engilman,3,PRFC North Valley 14B Predator,3,2025-04-12
14B Engilman,5,Tuzos Academy Mesa 2014,3,2025-03-15
14B Engilman,4,CCV Stars 14 Boys North Orange,2,2025-03-15
14B Engilman,4,14 Boys Navy,2,2025-03-15
14B Engilman,2,14B Velasco,3,2025-03-08
14B Engilman,4,East Valley NSFC 14 Boys Aguirre,5,2025-02-22
14B Engilman,0,AZEV B2014 (NAVY),4,2025-02-15
14B Engilman,5,Tuzos Titanes 2014,0,2025-02-08
14B Engilman,2,Dynamos SC 14B Gold,2,2025-02-01
14B Engilman,3,PRFC Southeast Valley 14B Pre-Academy,1,2025-01-25
14B Engilman,1,14B GSA,4,2025-01-11
14B Engilman,2,14B Velasco,7,2025-01-03
14B Engilman,1,AZSC 14B Perez,6,2024-12-15
14B Engilman,4,PRFC Southeast Valley 14B Pre-Academy,1,2024-12-14
14B Engilman,1,Playmaker Futbol Academy 14B Gold,4,2024-12-14
14B Engilman,1,Playmaker Futbol Academy 14B Black,4,2024-12-14
14B Engilman,4,14B Moyer,1,2024-12-07
14B Engilman,2,2014B West,6,2024-11-23
14B Engilman,2,2014B West,6,2024-11-23
14B Engilman,6,Playmaker Futbol Academy 14B Black,0,2024-11-23
14B Engilman,6,Playmaker Futbol Academy 14B Gold,0,2024-11-23
14B Engilman,4,Tuzos Academy Mesa 2014,4,2024-11-03
14B Engilman,1,NOS Santos 14 Boys Blue,5,2024-11-02
14B Engilman,1,Northwest 2014 Boys,1,2024-11-02
14B Engilman,1,Northwest 2014 Boys,1,2024-11-02
14B Engilman,3,AZ Arsenal Pre-ECNL B14,5,2024-11-01
14B Engilman,0,14B Velasco,6,2024-10-26
14B Engilman,1,Tuzos Academy Mesa 2014,1,2024-10-05
14B Engilman,1,14B Moyer,2,2024-09-15
14B Engilman,1,Northwest 2014 Boys,3,2024-09-15
14B Engilman,1,Northwest 2014 Boys,3,2024-09-15
14B Engilman,5,Dynamos SC 14B Gold,3,2024-09-14
14B Engilman,3,PRFC North Valley 14B Copa,0,2024-09-13
14B Engilman,2,PRFC Southeast Valley 14B Pre-Academy,1,2024-09-07
14B Felix Nogales,2,Deportivo Mexico 14B,2,2025-09-28
14B Felix Nogales,0,Milan,3,2025-09-27
14B Felix Nogales,3,CAC 14/15B (Conroy),3,2025-09-27
14B Felix Nogales,3,SFC XOLOS ARIZONA 2014,5,2025-09-26
14B Felix Nogales,6,VSC 2014 Boys White,0,2025-04-05
14B Felix Nogales,3,Milan,2,2025-03-15
14B Felix Nogales,4,CAC 14/15B (Conroy),2,2025-02-16
14B Felix Nogales,0,14B Hinds,5,2025-02-15
14B Felix Nogales,4,VSC 2014 Boys White,1,2025-01-19
14B Felix Nogales,2,AZEV B2014 (WHITE),5,2025-01-18
14B Felix Nogales,3,14 Cityzens,8,2024-12-15
14B Felix Nogales,3,PRFC Desert Foothills 14B Predator,3,2024-12-14
14B Felix Nogales,1,West Valley 2014 Boys Martinez Pre-Elite64,7,2024-10-05
14B Felix Nogales,8,FC Sonora 14' B Dynamo,0,2024-10-05
14B GSA,0,AZ Arsenal Pre-ECNL B14,3,2025-09-28
14B GSA,2,Southeast 2014 Boys Red,1,2025-09-28
14B GSA,3,Playmaker Futbol Academy PRE-ECNL B14,1,2025-09-28
14B GSA,3,Tuzos Royals 2014,1,2025-09-27
14B GSA,7,Excel Soccer Academy 14B Red,2,2025-09-27
14B GSA,0,Southeast 2014 Boys Green,6,2025-09-27
14B GSA,0,2014B West,0,2025-09-26
14B GSA,4,Tuzos Royals 2014,1,2025-09-07
14B GSA,0,2014B West,7,2025-09-07
14B GSA,1,PRFC North Valley 14B Predator,0,2025-09-06
14B GSA,3,Dynamos SC 14B SC,3,2025-09-06
14B GSA,2,Tuzos Royals 2014,1,2025-09-06
14B GSA,6,Phoenix Premier FC 14B Pre MLS Next AD,1,2025-08-31
14B GSA,6,Phoenix Premier FC 14B Pre MLS Next AD,1,2025-08-31
14B GSA,6,Playmaker Futbol Academy PRE-ECNL B14,2,2025-08-31
14B GSA,1,PRFC Scottsdale 14B Pre-Academy,0,2025-08-30
14B GSA,2,Excel Soccer Academy 14B Red,5,2025-05-03
14B GSA,2,Excel Soccer Academy 14B Red,5,2025-05-03
14B GSA,2,Brazas 2014 Boys Black Marcos,2,2025-04-27
14B GSA,5,14 Pre-MLSN #2,3,2025-04-26
14B GSA,5,AZ Arsenal Pre-ECNL B14,1,2025-04-13
14B GSA,4,AZ Arsenal Pre-ECNL B14,3,2025-04-13
14B GSA,5,Southeast 2014 Boys Blue,3,2025-04-12
14B GSA,5,Southeast 2014 Boys Blue,3,2025-04-12
14B GSA,2,Southeast 2014 Boys Red,1,2025-04-12
14B GSA,2,Southeast 2014 Boys Red,1,2025-04-12
14B GSA,1,2014 Elite,1,2025-03-30
14B GSA,3,Madison FC 14 Gold Boys,3,2025-03-09
14B GSA,3,Madison FC 14 Gold Boys,3,2025-03-09
14B GSA,2,14B Antunez Pre-MLS Next,1,2025-03-08
14B GSA,4,AZEV B2014 (NAVY),8,2025-03-01
14B GSA,12,Tuzos Titanes 2014,0,2025-02-22
14B GSA,7,14B Antunez Pre-MLS Next,2,2025-02-22
14B GSA,9,Dynamos SC 14B Gold,1,2025-02-15
14B GSA,7,PRFC Southeast Valley 14B Pre-Academy,1,2025-02-08
14B GSA,3,CCV Stars 14 Boys North Pre-ECNL,0,2025-02-08
14B GSA,8,East Valley NSFC 14 Boys Aguirre,1,2025-02-01
14B GSA,4,Southeast 2014 Boys Red,2,2025-01-26
14B GSA,4,Southeast 2014 Boys Red,2,2025-01-26
14B GSA,7,Phoenix Premier FC 14B Black,1,2025-01-25
14B GSA,8,14B Velasco,5,2025-01-25
14B GSA,6,2014B West,3,2025-01-24
14B GSA,4,14B Engilman,1,2025-01-11
14B GSA,2,Sun Warriors 15/16 Boys,1,2025-01-04
14B GSA,3,14B Antunez Pre-MLS Next,5,2025-01-04
14B GSA,1,2014B West,4,2024-12-08
14B GSA,5,NOS Santos 14 Boys Blue,2,2024-12-07
14B GSA,6,PRFC West Valley 14B Pre-Academy,0,2024-12-07
14B GSA,3,Southeast 2014 Boys Black,2,2024-12-07
14B GSA,1,Southeast 2014 Boys Black,4,2024-11-30
14B GSA,0,Legends FC AZ 14B Black,0,2024-11-29
14B GSA,0,Dynamos SC 14B SC,0,2024-11-29
14B GSA,6,AZSC 14B Perez,3,2024-11-24
14B GSA,10,VSC 2014 Boys Green,2,2024-11-24
14B GSA,9,RSL-AZ Yuma 14 Boys Quinonez,2,2024-11-23
14B GSA,8,Southeast 2014 Boys Blue,5,2024-11-23
14B GSA,8,Southeast 2014 Boys Blue,5,2024-11-23
14B GSA,4,AZ Arsenal Pre-ECNL B14,1,2024-11-03
14B GSA,5,Dynamos SC 14B Gold,2,2024-11-03
14B GSA,7,Playmaker Futbol Academy 14B Gold,0,2024-11-02
14B GSA,7,Playmaker Futbol Academy 14B Black,0,2024-11-02
14B GSA,3,PRFC Desert Foothills 14B Pre-Academy,2,2024-11-02
14B GSA,7,PRFC Scottsdale 14B Pre-Academy,4,2024-10-27
14B GSA,6,Phoenix Premier FC 14B Black,5,2024-10-26
14B GSA,5,PRFC Southeast Valley 14B Predator,2,2024-10-26
14B GSA,5,PRFC Scottsdale 14B Pre-Academy,3,2024-10-25
14B GSA,8,PRFC Southeast Valley 14B Pre-Academy,1,2024-10-24
14B GSA,4,AZEV B2014 (NAVY),2,2024-10-19
14B GSA,1,Southeast 2014 Boys Black,3,2024-10-18
14B GSA,5,AZ Arsenal 14 Boys Teal SC,4,2024-10-13
14B GSA,8,PSG 14B Blue,0,2024-10-12
14B GSA,6,East Valley NSFC 14 Boys Aguirre,1,2024-10-12
14B GSA,0,Excel Soccer Academy 14B Red,3,2024-10-12
14B GSA,0,Excel Soccer Academy 14B Red,3,2024-10-12
14B GSA,7,PRFC North Valley 14B Predator,2,2024-10-12
14B GSA,2,Playmaker Futbol Academy 14B Gold,0,2024-10-11
14B GSA,2,Playmaker Futbol Academy 14B Black,0,2024-10-11
14B GSA,4,Southeast 2014 Boys Red,0,2024-09-29
14B GSA,4,Southeast 2014 Boys Red,0,2024-09-29
14B GSA,3,Dynamos SC 14B SC,2,2024-09-29
14B GSA,3,Legends FC AZ 14B Black,2,2024-09-29
14B GSA,6,Tuzos Royals 2014,0,2024-09-28
