Team,ComponentID,ComponentSize,Degree
rsl-az yuma 2013 boys gold,0,78,40
avondale soccer club 2013 boys red,0,78,39
gilbert soccer club 2013 boys red,0,78,33
chandler soccer club 2013 boys white,0,78,41
fc elite arizona 2013 boys red,0,78,55
cave creek soccer club 2013 boys blue,0,78,36
az arsenal soccer club 2013 boys red,0,78,56
az soccer club 2013 boys white,0,78,38
casa grande soccer club 2013 boys gold,0,78,37
paradise valley soccer club 2013 boys gold,0,78,73
desert sc 2013 boys white,0,78,44
chandler soccer club 2013 boys gold,0,78,50
surprise soccer club 2013 boys red,0,78,37
fc tucson youth soccer 2013 boys red,0,78,38
fountain hills soccer club 2013 boys white,0,78,43
scottsdale soccer club 2013 boys blue,0,78,68
rsl-az south 2013 boys red,0,78,33
mesa soccer club 2013 boys black,0,78,54
gilbert soccer club 2013 boys gold,0,78,35
goodyear soccer club 2013 boys white,0,78,36
buckeye soccer club 2013 boys gold,0,78,59
goodyear soccer club 2013 boys blue,0,78,57
queen creek soccer club 2013 boys black,0,78,60
az arsenal soccer club 2013 boys black,0,78,60
buckeye soccer club 2013 boys blue,0,78,41
fc elite arizona 2013 boys blue,0,78,65
glendale soccer club 2013 boys blue,0,78,41
tempe soccer club 2013 boys white,0,78,42
goodyear soccer club 2013 boys red,0,78,56
fc tucson youth soccer 2013 boys black,0,78,40
peoria soccer club 2013 boys gold,0,78,43
fc tucson youth soccer 2013 boys blue,0,78,45
apache junction soccer club 2013 boys blue,0,78,40
mesa soccer club 2013 boys white,0,78,44
peoria soccer club 2013 boys blue,0,78,36
rsl-az west valley 2013 boys white,0,78,56
casa grande soccer club 2013 boys white,0,78,41
fountain hills soccer club 2013 boys blue,0,78,39
avondale soccer club 2013 boys blue,0,78,35
queen creek soccer club 2013 boys red,0,78,33
rsl-az west valley 2013 boys gold,0,78,37
scottsdale soccer club 2013 boys white,0,78,42
rsl-az south 2013 boys blue,0,78,44
scottsdale soccer club 2013 boys red,0,78,41
cave creek soccer club 2013 boys gold,0,78,35
phoenix premier fc 2013 boys white,0,78,54
mesa soccer club 2013 boys red,0,78,35
az soccer club 2013 boys blue,0,78,41
maricopa soccer club 2013 boys red,0,78,33
gilbert soccer club 2013 boys black,0,78,44
rsl-az west valley 2013 boys blue,0,78,53
chandler soccer club 2013 boys red,0,78,38
apache junction soccer club 2013 boys black,0,78,47
buckeye soccer club 2013 boys white,0,78,35
az soccer club 2013 boys black,0,78,42
gilbert soccer club 2013 boys blue,0,78,51
fc tucson youth soccer 2013 boys white,0,78,70
paradise valley soccer club 2013 boys blue,0,78,54
goodyear soccer club 2013 boys black,0,78,39
az arsenal soccer club 2013 boys gold,0,78,44
phoenix rising fc 2013 boys blue,0,78,34
rsl-az north 2013 boys red,0,78,58
casa grande soccer club 2013 boys blue,0,78,57
phoenix rising fc 2013 boys black,0,78,35
mesa soccer club 2013 boys gold,0,78,33
az soccer club 2013 boys gold,0,78,37
phoenix premier fc 2013 boys red,0,78,37
surprise soccer club 2013 boys gold,0,78,58
apache junction soccer club 2013 boys white,0,78,57
queen creek soccer club 2013 boys gold,0,78,38
gilbert soccer club 2013 boys white,0,78,39
glendale soccer club 2013 boys gold,0,78,55
avondale soccer club 2013 boys gold,0,78,36
az arsenal soccer club 2013 boys white,0,78,54
peoria soccer club 2013 boys white,0,78,35
phoenix rising fc 2013 boys gold,0,78,57
cave creek soccer club 2013 boys white,0,78,60
rsl-az west valley 2013 boys black,0,78,50
