Team,ComponentID,ComponentSize,Degree
phoenix premier fc 2016 boys gold,0,83,38
buckeye soccer club 2016 boys gold,0,83,35
mesa soccer club 2016 boys blue,0,83,54
casa grande soccer club 2016 boys red,0,83,35
valley united fc 2016 boys black,0,83,34
az arsenal soccer club 2016 boys gold,0,83,66
fc elite arizona 2016 boys blue,0,83,28
phoenix premier fc 2016 boys black,0,83,29
rsl-az north 2016 boys blue,0,83,34
phoenix rising fc 2016 boys gold,0,83,44
rsl-az south 2016 boys blue,0,83,33
rsl-az north 2016 boys white,0,83,58
scottsdale soccer club 2016 boys gold,0,83,33
avondale soccer club 2016 boys white,0,83,37
phoenix premier fc 2016 boys red,0,83,28
cave creek soccer club 2016 boys black,0,83,37
chandler soccer club 2016 boys red,0,83,37
goodyear soccer club 2016 boys gold,0,83,37
rsl-az west valley 2016 boys black,0,83,36
rsl-az yuma 2016 boys gold,0,83,73
fountain hills soccer club 2016 boys blue,0,83,56
gilbert soccer club 2016 boys black,0,83,33
buckeye soccer club 2016 boys black,0,83,55
casa grande soccer club 2016 boys black,0,83,53
casa grande soccer club 2016 boys gold,0,83,57
fc elite arizona 2016 boys black,0,83,35
paradise valley soccer club 2016 boys white,0,83,33
apache junction soccer club 2016 boys red,0,83,56
az soccer club 2016 boys white,0,83,35
chandler soccer club 2016 boys blue,0,83,68
rsl-az west valley 2016 boys red,0,83,55
maricopa soccer club 2016 boys red,0,83,33
az arsenal soccer club 2016 boys blue,0,83,54
peoria soccer club 2016 boys black,0,83,55
maricopa soccer club 2016 boys gold,0,83,57
surprise soccer club 2016 boys red,0,83,37
queen creek soccer club 2016 boys white,0,83,36
buckeye soccer club 2016 boys blue,0,83,51
paradise valley soccer club 2016 boys blue,0,83,52
gilbert soccer club 2016 boys gold,0,83,35
casa grande soccer club 2016 boys blue,0,83,30
gilbert soccer club 2016 boys red,0,83,33
peoria soccer club 2016 boys white,0,83,35
fc tucson youth soccer 2016 boys gold,0,83,74
tempe soccer club 2016 boys black,0,83,39
tempe soccer club 2016 boys white,0,83,38
maricopa soccer club 2016 boys black,0,83,33
rsl-az yuma 2016 boys red,0,83,40
fc tucson youth soccer 2016 boys white,0,83,32
fountain hills soccer club 2016 boys white,0,83,54
rsl-az west valley 2016 boys gold,0,83,40
scottsdale soccer club 2016 boys blue,0,83,27
fountain hills soccer club 2016 boys red,0,83,34
avondale soccer club 2016 boys red,0,83,40
desert sc 2016 boys blue,0,83,39
scottsdale soccer club 2016 boys white,0,83,39
cave creek soccer club 2016 boys white,0,83,59
peoria soccer club 2016 boys gold,0,83,52
phoenix rising fc 2016 boys red,0,83,34
glendale soccer club 2016 boys white,0,83,34
valley united fc 2016 boys white,0,83,37
scottsdale soccer club 2016 boys black,0,83,34
surprise soccer club 2016 boys blue,0,83,37
mesa soccer club 2016 boys gold,0,83,38
fc tucson youth soccer 2016 boys red,0,83,52
desert sc 2016 boys white,0,83,50
az soccer club 2016 boys gold,0,83,34
maricopa soccer club 2016 boys white,0,83,37
rsl-az west valley 2016 boys white,0,83,30
glendale soccer club 2016 boys blue,0,83,36
az soccer club 2016 boys black,0,83,31
goodyear soccer club 2016 boys black,0,83,39
gilbert soccer club 2016 boys white,0,83,30
rsl-az south 2016 boys gold,0,83,35
casa grande soccer club 2016 boys white,0,83,34
gilbert soccer club 2016 boys blue,0,83,61
queen creek soccer club 2016 boys blue,0,83,66
glendale soccer club 2016 boys black,0,83,53
rsl-az north 2016 boys black,0,83,49
paradise valley soccer club 2016 boys gold,0,83,41
queen creek soccer club 2016 boys gold,0,83,53
chandler soccer club 2016 boys gold,0,83,51
az soccer club 2016 boys red,0,83,54
