Team Name,Club,Team ID,Wins,Losses,Ties,Games Played,State,Win Percentage,State Rank,Goal Ratio,Team URL,Gender,Age Group
14B GSA,RSL-AZ North,404655,37,12,6,55,AZ,0.672727273,1,1.826530612,https://rankings.gotsport.com/teams/404655,M,U12
Southeast 2014 Boys Black,Next Level Soccer (AZ),238248,38,14,4,56,AZ,0.678571429,2,2.398058252,https://rankings.gotsport.com/teams/238248,M,U12
2014 Elite,Phoenix United Futbol Club,579284,20,4,1,25,AZ,0.8,3,3.741935484,https://rankings.gotsport.com/teams/579284,M,U12
Tuzos Royals 2014,FBSL,365177,36,20,10,66,AZ,0.545454545,4,1.358778626,https://rankings.gotsport.com/teams/365177,M,U12
Phoenix United 2014 Academy,Phoenix United Futbol Club,518095,22,1,4,27,AZ,0.814814815,5,5.652173913,https://rankings.gotsport.com/teams/518095,M,U12
2014B West,Phoenix United Futbol Club,499398,39,16,8,63,AZ,0.619047619,6,1.954887218,https://rankings.gotsport.com/teams/499398,M,U12
SCFC - 2014,Scottsdale City FC,370208,42,10,5,57,AZ,0.736842105,7,1.914285714,https://rankings.gotsport.com/teams/370208,M,U12
Southeast 2014 Boys Red,Next Level Soccer (AZ),314607,22,19,2,43,AZ,0.511627907,8,1.216981132,https://rankings.gotsport.com/teams/314607,M,U12
Dynamos SC 14B SC,Dynamos SC,126725,26,16,7,49,AZ,0.530612245,9,1.578947368,https://rankings.gotsport.com/teams/126725,M,U12
Excel Soccer Academy 14B Red,Excel Soccer Academy,188448,22,12,5,39,AZ,0.564102564,10,1.561643836,https://rankings.gotsport.com/teams/188448,M,U12
PRFC North Valley 14B PreAcademy,Phoenix Rising FC North Valley,68446,20,17,7,44,AZ,0.454545455,11,0.908333333,https://rankings.gotsport.com/teams/68446,M,U12
AZEV B2014 (NAVY),AYSO United (AZ),342294,28,7,4,39,AZ,0.717948718,12,2.553571429,https://rankings.gotsport.com/teams/342294,M,U12
Madison FC 14 Gold Boys,Madison FC,96965,32,10,6,48,AZ,0.666666667,13,2.205128205,https://rankings.gotsport.com/teams/96965,M,U12
AZ Arsenal Pre-ECNL B14,Arizona Arsenal Soccer Club,130653,20,13,2,35,AZ,0.571428571,14,1.540540541,https://rankings.gotsport.com/teams/130653,M,U12
14B JDeutsch Pre-MLS Next,RSL-AZ South,82303,18,16,5,39,AZ,0.461538462,15,1.125,https://rankings.gotsport.com/teams/82303,M,U12
AZSC 14B Perez,Arizona Soccer Club,80004,31,14,5,50,AZ,0.62,16,1.841121495,https://rankings.gotsport.com/teams/80004,M,U12
Southeast 2014 Boys Blue,Next Level Soccer (AZ),448054,19,12,2,33,AZ,0.575757576,17,1.552631579,https://rankings.gotsport.com/teams/448054,M,U12
PRFC Scottsdale 14B Pre-Academy,Phoenix Rising FC,129148,32,13,3,48,AZ,0.666666667,18,2.634146341,https://rankings.gotsport.com/teams/129148,M,U12
14 Pre-MLSN #1,FC Tucson Youth Soccer,499119,28,10,3,41,AZ,0.682926829,19,2.231884058,https://rankings.gotsport.com/teams/499119,M,U12
