Team,ComponentID,ComponentSize,Degree
az arsenal soccer club 2012 boys white,0,70,34
desert sc 2012 boys red,0,70,37
desert sc 2012 boys black,0,70,37
mesa soccer club 2012 boys gold,0,70,41
desert sc 2012 boys gold,0,70,58
phoenix rising fc 2012 boys blue,0,70,54
az soccer club 2012 boys gold,0,70,37
scottsdale soccer club 2012 boys black,0,70,41
fountain hills soccer club 2012 boys blue,0,70,39
goodyear soccer club 2012 boys red,0,70,38
fc tucson youth soccer 2012 boys blue,0,70,51
queen creek soccer club 2012 boys white,0,70,56
rsl-az south 2012 boys white,0,70,36
az soccer club 2012 boys red,0,70,53
fc tucson youth soccer 2012 boys white,0,70,39
tempe soccer club 2012 boys blue,0,70,68
queen creek soccer club 2012 boys black,0,70,57
az arsenal soccer club 2012 boys blue,0,70,35
avondale soccer club 2012 boys black,0,70,41
az arsenal soccer club 2012 boys red,0,70,54
peoria soccer club 2012 boys gold,0,70,52
mesa soccer club 2012 boys black,0,70,52
desert sc 2012 boys blue,0,70,51
cave creek soccer club 2012 boys gold,0,70,42
tempe soccer club 2012 boys black,0,70,41
glendale soccer club 2012 boys blue,0,70,40
goodyear soccer club 2012 boys blue,0,70,40
paradise valley soccer club 2012 boys black,0,70,55
buckeye soccer club 2012 boys blue,0,70,55
rsl-az south 2012 boys blue,0,70,40
rsl-az west valley 2012 boys red,0,70,36
phoenix premier fc 2012 boys red,0,70,63
fountain hills soccer club 2012 boys black,0,70,60
fc elite arizona 2012 boys gold,0,70,55
rsl-az north 2012 boys blue,0,70,36
casa grande soccer club 2012 boys red,0,70,36
goodyear soccer club 2012 boys gold,0,70,37
casa grande soccer club 2012 boys blue,0,70,54
phoenix premier fc 2012 boys gold,0,70,39
apache junction soccer club 2012 boys gold,0,70,54
surprise soccer club 2012 boys gold,0,70,39
queen creek soccer club 2012 boys gold,0,70,39
glendale soccer club 2012 boys red,0,70,38
chandler soccer club 2012 boys red,0,70,54
rsl-az north 2012 boys red,0,70,57
mesa soccer club 2012 boys red,0,70,35
apache junction soccer club 2012 boys blue,0,70,55
peoria soccer club 2012 boys white,0,70,39
fountain hills soccer club 2012 boys white,0,70,34
maricopa soccer club 2012 boys black,0,70,32
gilbert soccer club 2012 boys white,0,70,41
mesa soccer club 2012 boys white,0,70,38
phoenix rising fc 2012 boys black,0,70,38
maricopa soccer club 2012 boys red,0,70,38
tempe soccer club 2012 boys white,0,70,40
rsl-az west valley 2012 boys gold,0,70,39
casa grande soccer club 2012 boys gold,0,70,54
az soccer club 2012 boys blue,0,70,36
chandler soccer club 2012 boys white,0,70,52
valley united fc 2012 boys red,0,70,38
valley united fc 2012 boys black,0,70,39
maricopa soccer club 2012 boys gold,0,70,36
rsl-az yuma 2012 boys gold,0,70,42
paradise valley soccer club 2012 boys blue,0,70,42
gilbert soccer club 2012 boys blue,0,70,36
rsl-az yuma 2012 boys red,0,70,41
rsl-az north 2012 boys white,0,70,37
chandler soccer club 2012 boys gold,0,70,48
fc tucson youth soccer 2012 boys red,0,70,44
cave creek soccer club 2012 boys black,0,70,61
