Team Name,Club,Team ID,Wins,Losses,Ties,Games Played,State,Win Percentage,State Rank,Goal Ratio,Team URL,Gender,Age Group
FC Elite Arizona 2015 Boys Blue,FC Elite Arizona,u11_1,24,18,11,53,AZ,0.4528301886792453,1,1.1313131313131313,https://rankings.gotsport.com/teams/u11_1,M,U11
FC Elite Arizona 2015 Boys White,FC Elite Arizona,u11_2,25,25,15,65,AZ,0.38461538461538464,2,0.9411764705882353,https://rankings.gotsport.com/teams/u11_2,M,U11
FC Elite Arizona 2015 Boys Red,FC Elite Arizona,u11_3,19,24,13,56,AZ,0.3392857142857143,3,0.9166666666666666,https://rankings.gotsport.com/teams/u11_3,M,U11
FC Elite Arizona 2015 Boys Black,FC Elite Arizona,u11_4,15,18,10,43,AZ,0.3488372093023256,4,0.9550561797752809,https://rankings.gotsport.com/teams/u11_4,M,U11
Phoenix Premier FC 2015 Boys Blue,Phoenix Premier FC,u11_5,23,28,9,60,AZ,0.38333333333333336,5,1.0288461538461537,https://rankings.gotsport.com/teams/u11_5,M,U11
Phoenix Premier FC 2015 Boys White,Phoenix Premier FC,u11_6,26,22,16,64,AZ,0.40625,6,1.1271186440677967,https://rankings.gotsport.com/teams/u11_6,M,U11
Phoenix Premier FC 2015 Boys Red,Phoenix Premier FC,u11_7,27,23,10,60,AZ,0.45,7,1.008,https://rankings.gotsport.com/teams/u11_7,M,U11
Phoenix Premier FC 2015 Boys Black,Phoenix Premier FC,u11_8,28,15,9,52,AZ,0.5384615384615384,8,1.3068181818181819,https://rankings.gotsport.com/teams/u11_8,M,U11
RSL-AZ North 2015 Boys Blue,RSL-AZ North,u11_9,16,10,7,33,AZ,0.48484848484848486,9,1.2903225806451613,https://rankings.gotsport.com/teams/u11_9,M,U11
RSL-AZ North 2015 Boys White,RSL-AZ North,u11_10,27,13,15,55,AZ,0.4909090909090909,10,1.3595505617977528,https://rankings.gotsport.com/teams/u11_10,M,U11
RSL-AZ North 2015 Boys Red,RSL-AZ North,u11_11,23,25,11,59,AZ,0.3898305084745763,11,0.904,https://rankings.gotsport.com/teams/u11_11,M,U11
RSL-AZ North 2015 Boys Black,RSL-AZ North,u11_12,24,22,8,54,AZ,0.4444444444444444,12,1.096774193548387,https://rankings.gotsport.com/teams/u11_12,M,U11
RSL-AZ South 2015 Boys Blue,RSL-AZ South,u11_13,21,31,9,61,AZ,0.3442622950819672,13,0.8956521739130435,https://rankings.gotsport.com/teams/u11_13,M,U11
RSL-AZ South 2015 Boys White,RSL-AZ South,u11_14,16,20,6,42,AZ,0.38095238095238093,14,0.9052631578947369,https://rankings.gotsport.com/teams/u11_14,M,U11
RSL-AZ South 2015 Boys Red,RSL-AZ South,u11_15,21,20,10,51,AZ,0.4117647058823529,15,0.9523809523809523,https://rankings.gotsport.com/teams/u11_15,M,U11
RSL-AZ West Valley 2015 Boys Blue,RSL-AZ West Valley,u11_16,27,24,10,61,AZ,0.4426229508196721,16,1.103448275862069,https://rankings.gotsport.com/teams/u11_16,M,U11
RSL-AZ West Valley 2015 Boys White,RSL-AZ West Valley,u11_17,28,20,7,55,AZ,0.509090909090909,17,1.118811881188119,https://rankings.gotsport.com/teams/u11_17,M,U11
RSL-AZ Yuma 2015 Boys Blue,RSL-AZ Yuma,u11_18,24,22,13,59,AZ,0.4067796610169492,18,1.0619469026548674,https://rankings.gotsport.com/teams/u11_18,M,U11
RSL-AZ Yuma 2015 Boys White,RSL-AZ Yuma,u11_19,25,15,10,50,AZ,0.5,19,1.2242990654205608,https://rankings.gotsport.com/teams/u11_19,M,U11
RSL-AZ Yuma 2015 Boys Red,RSL-AZ Yuma,u11_20,22,23,11,56,AZ,0.39285714285714285,20,1.1414141414141414,https://rankings.gotsport.com/teams/u11_20,M,U11
RSL-AZ Yuma 2015 Boys Black,RSL-AZ Yuma,u11_21,20,11,7,38,AZ,0.5263157894736842,21,1.2727272727272727,https://rankings.gotsport.com/teams/u11_21,M,U11
