Team Name,Club,Team ID,Wins,Losses,Ties,Games Played,State,Win Percentage,State Rank,Goal Ratio,Team URL,Gender,Age Group
fc elite arizona 2012 boys gold,FC Elite Arizona,u14_1,47,43,20,110,AZ,0.42727272727272725,1,1.0364963503649636,https://rankings.gotsport.com/teams/u14_1,M,U14
desert sc 2012 boys blue,Desert SC,u14_2,48,46,22,116,AZ,0.41379310344827586,2,1.0311418685121108,https://rankings.gotsport.com/teams/u14_2,M,U14
casa grande soccer club 2012 boys blue,Casa Grande Soccer Club,u14_3,46,49,15,110,AZ,0.41818181818181815,3,0.9172661870503597,https://rankings.gotsport.com/teams/u14_3,M,U14
cave creek soccer club 2012 boys black,Cave Creek Soccer Club,u14_4,68,62,26,156,AZ,0.4358974358974359,4,1.0629722921914357,https://rankings.gotsport.com/teams/u14_4,M,U14
az arsenal soccer club 2012 boys blue,AZ Arsenal Soccer Club,u14_5,29,30,4,63,AZ,0.4603174603174603,5,0.8674698795180723,https://rankings.gotsport.com/teams/u14_5,M,U14
valley united fc 2012 boys black,Valley United FC,u14_6,37,18,13,68,AZ,0.5441176470588235,6,1.2254335260115607,https://rankings.gotsport.com/teams/u14_6,M,U14
rsl-az north 2012 boys red,RSL-AZ North,u14_7,55,53,17,125,AZ,0.44,7,0.9760479041916168,https://rankings.gotsport.com/teams/u14_7,M,U14
gilbert soccer club 2012 boys white,Gilbert Soccer Club,u14_8,25,21,15,61,AZ,0.4098360655737705,8,1.0602409638554218,https://rankings.gotsport.com/teams/u14_8,M,U14
desert sc 2012 boys red,Desert SC,u14_9,28,20,11,59,AZ,0.4745762711864407,9,1.0705128205128205,https://rankings.gotsport.com/teams/u14_9,M,U14
phoenix rising fc 2012 boys blue,Phoenix Rising FC,u14_10,50,41,20,111,AZ,0.45045045045045046,10,1.062043795620438,https://rankings.gotsport.com/teams/u14_10,M,U14
az soccer club 2012 boys red,AZ Soccer Club,u14_11,46,52,16,114,AZ,0.40350877192982454,11,1.0141843971631206,https://rankings.gotsport.com/teams/u14_11,M,U14
queen creek soccer club 2012 boys white,Queen Creek Soccer Club,u14_12,62,45,22,129,AZ,0.4806201550387597,12,1.146031746031746,https://rankings.gotsport.com/teams/u14_12,M,U14
rsl-az north 2012 boys red,RSL-AZ North,u14_13,55,53,17,125,AZ,0.44,13,0.9760479041916168,https://rankings.gotsport.com/teams/u14_13,M,U14
mesa soccer club 2012 boys black,Mesa Soccer Club,u14_14,57,56,17,130,AZ,0.43846153846153846,14,1.0670926517571886,https://rankings.gotsport.com/teams/u14_14,M,U14
rsl-az west valley 2012 boys red,RSL-AZ West Valley,u14_15,21,25,12,58,AZ,0.3620689655172414,15,0.9150326797385621,https://rankings.gotsport.com/teams/u14_15,M,U14
rsl-az south 2012 boys blue,RSL-AZ South,u14_16,22,18,12,52,AZ,0.4230769230769231,16,0.9103448275862069,https://rankings.gotsport.com/teams/u14_16,M,U14
rsl-az north 2012 boys white,RSL-AZ North,u14_17,20,27,8,55,AZ,0.36363636363636365,17,0.9865771812080537,https://rankings.gotsport.com/teams/u14_17,M,U14
rsl-az yuma 2012 boys red,RSL-AZ Yuma,u14_18,26,24,12,62,AZ,0.41935483870967744,18,0.9597701149425287,https://rankings.gotsport.com/teams/u14_18,M,U14
mesa soccer club 2012 boys white,Mesa Soccer Club,u14_19,28,27,9,64,AZ,0.4375,19,1.037037037037037,https://rankings.gotsport.com/teams/u14_19,M,U14
rsl-az north 2012 boys blue,RSL-AZ North,u14_20,17,29,10,56,AZ,0.30357142857142855,20,0.7887323943661971,https://rankings.gotsport.com/teams/u14_20,M,U14
peoria soccer club 2012 boys white,Peoria Soccer Club,u14_21,23,26,12,61,AZ,0.3770491803278688,21,0.8947368421052632,https://rankings.gotsport.com/teams/u14_21,M,U14
cave creek soccer club 2012 boys black,Cave Creek Soccer Club,u14_22,68,62,26,156,AZ,0.4358974358974359,22,1.0629722921914357,https://rankings.gotsport.com/teams/u14_22,M,U14
maricopa soccer club 2012 boys black,Maricopa Soccer Club,u14_23,21,23,6,50,AZ,0.42,23,0.9338842975206612,https://rankings.gotsport.com/teams/u14_23,M,U14
az soccer club 2012 boys blue,AZ Soccer Club,u14_24,16,29,11,56,AZ,0.2857142857142857,24,0.8104575163398693,https://rankings.gotsport.com/teams/u14_24,M,U14
queen creek soccer club 2012 boys gold,Queen Creek Soccer Club,u14_25,24,31,6,61,AZ,0.39344262295081966,25,0.8954248366013072,https://rankings.gotsport.com/teams/u14_25,M,U14
casa grande soccer club 2012 boys red,Casa Grande Soccer Club,u14_26,21,26,10,57,AZ,0.3684210526315789,26,0.8827586206896552,https://rankings.gotsport.com/teams/u14_26,M,U14
phoenix premier fc 2012 boys red,Phoenix Premier FC,u14_27,92,62,33,187,AZ,0.4919786096256685,27,1.1666666666666667,https://rankings.gotsport.com/teams/u14_27,M,U14
